scheme,mean_points,std_points,cv,min_points,max_points
hash,26898.045454545456,146.2260010683112,0.005436305820637265,26580,27155
kmeans,26898.045454545456,11682.997840596756,0.43434374666143133,9123,52028
balanced_kmeans,26898.045454545456,0.20829889522526548,7.744016031843883e-06,26898,26899
