simulated_worker_scale,logical_shards,exact_scale_match,method,recall_target,measured_recall,qps,qps_stdev,parameters,evidence_dir
16,15,False,orion,0.8,0.8025666666666668,2292.3575483926256,16.567051707980028,"upper_k=11,base=50,factor=17",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale16/orion-s15/r080-u11-b50-f17-g1511171
16,17,False,orion,0.8,0.8020666666666667,2334.4098295005538,11.573638249372946,"upper_k=12,base=50,factor=15",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale16/orion-s17/r080-u12-b50-f15-g1712151
16,16,True,naive_hash,0.85,0.8527666666666667,1916.6173074613705,29.84549734830714,hnsw_ef=41,results/native-20260818-scale4-32-r080-095-v1/benchmark/scale16/hash/r085-ef41
16,16,True,simple_kmeans,0.85,0.8522,1700.0574716856445,8.482426187222655,"nprobe=7,hnsw_ef=110",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale16/simple/r085-n7-ef110-g167110
16,15,False,orion,0.85,0.8528333333333333,2119.9219446421944,5.910619604465874,"upper_k=20,base=50,factor=14",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale16/orion-s15/r085-u20-b50-f14-g1520141
16,17,False,orion,0.85,0.8500666666666666,2221.5969626879723,7.266391456309804,"upper_k=20,base=51,factor=14",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale16/orion-s17/r085-u20-b51-f14-g1720151
16,16,True,naive_hash,0.9,0.9019666666666667,1666.597668618823,8.406010586992235,hnsw_ef=72,results/native-20260818-scale4-32-r080-095-v1/benchmark/scale16/hash/r090-ef72
16,16,True,simple_kmeans,0.9,0.9023333333333333,1369.7317851114742,7.989770481279179,"nprobe=10,hnsw_ef=158",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale16/simple/r090-n10-ef158-g1610158
16,15,False,orion,0.9,0.9013333333333332,1821.9858110781597,2.371607488198669,"upper_k=42,base=50,factor=14",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale16/orion-s15/r090-u42-b50-f14-g1542141
16,17,False,orion,0.9,0.9012333333333333,1869.4847992890875,0.9831698530826852,"upper_k=43,base=50,factor=14",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale16/orion-s17/r090-u43-b50-f14-g1743141
16,16,True,naive_hash,0.95,0.9504,1332.6430014059888,14.20230994888665,hnsw_ef=152,results/native-20260818-scale4-32-r080-095-v1/benchmark/scale16/hash/r095-ef152
16,16,True,simple_kmeans,0.95,0.9524666666666667,903.648407522522,3.9986445340142023,"nprobe=16,hnsw_ef=285",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale16/simple/r095-n16-ef285-g1616285
16,15,False,orion,0.95,0.9508,1269.9400109083192,2.8437269099018403,"upper_k=108,base=50,factor=18",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale16/orion-s15/r095-u108-b50-f18-g15108181
16,17,False,orion,0.95,0.9502333333333334,1265.4260778321216,5.072642702640486,"upper_k=108,base=50,factor=18",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale16/orion-s17/r095-u108-b50-f18-g17108181
32,32,True,naive_hash,0.8,0.8018,1855.6336583525363,28.99436713496855,hnsw_ef=18,results/native-20260818-scale4-32-r080-095-v1/benchmark/scale32/hash/r080-ef18
32,32,True,simple_kmeans,0.8,0.8010666666666667,2147.9877022166197,18.219577921308638,"nprobe=8,hnsw_ef=58",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale32/simple/r080-n8-ef58-g32858
32,32,True,orion,0.8,0.8006333333333333,2332.8772965050016,3.259307642692955,"upper_k=13,base=50,factor=17",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale32/orion/r080-u13-b50-f17-g3213171
32,32,True,naive_hash,0.85,0.8526666666666666,1759.5558943023652,17.063814712159182,hnsw_ef=28,results/native-20260818-scale4-32-r080-095-v1/benchmark/scale32/hash/r085-ef28
32,32,True,simple_kmeans,0.85,0.8527999999999999,1868.540693857247,20.462996856980343,"nprobe=10,hnsw_ef=91",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale32/simple/r085-n10-ef91-g321091
32,32,True,orion,0.85,0.8521333333333333,2183.9050138947555,8.76747174393176,"upper_k=23,base=50,factor=14",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale32/orion/r085-u23-b50-f14-g3223141
32,32,True,naive_hash,0.9,0.9007,1579.5004960394074,14.514112206877678,hnsw_ef=46,results/native-20260818-scale4-32-r080-095-v1/benchmark/scale32/hash/r090-ef46
32,32,True,simple_kmeans,0.9,0.9008333333333334,1505.8517673807412,26.648245689380175,"nprobe=16,hnsw_ef=118",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale32/simple/r090-n16-ef118-g3216118
32,32,True,orion,0.9,0.9027333333333334,1870.6938285491758,26.23122686633436,"upper_k=46,base=50,factor=14",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale32/orion/r090-u46-b50-f14-g3246141
32,32,True,naive_hash,0.95,0.9502333333333334,1343.5173046462635,10.961495313385194,hnsw_ef=90,results/native-20260818-scale4-32-r080-095-v1/benchmark/scale32/hash/r095-ef90
32,32,True,simple_kmeans,0.95,0.9524666666666667,970.7686543605782,10.210370417449884,"nprobe=22,hnsw_ef=230",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale32/simple/r095-n22-ef230-g3222230
32,32,True,orion,0.95,0.9505,1360.4122471086991,14.001508431754376,"upper_k=112,base=50,factor=16",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale32/orion/r095-u112-b50-f16-g32112161

