concurrency,upper_k,base_ef,factor,query_count,top_k,recall_at_k,qps,wall_s,avg_visited_shards,avg_upper_hits,avg_assigned_ef_per_visited_shard,routing_plan_wall_s_excluded_from_qps
1,0,36,0,10000,10,0.89865,500.1067189980036,19.995732151000993,45.0,0.0,36.0,0.32565611599420663
2,0,36,0,10000,10,0.89865,571.9439240833727,17.484231545997318,45.0,0.0,36.0,0.32565611599420663
4,0,36,0,10000,10,0.89865,271.3278392945646,36.855783121995046,45.0,0.0,36.0,0.32565611599420663
