run,upper_k,base_ef,factor,query_count,top_k,recall_at_k,qps,wall_s,avg_visited_shards,avg_upper_hits,avg_assigned_ef_per_visited_shard
1,100,32,4,10000,10,0.89568,175.44725945150876,56.99718554317951,15.0973,100.0,58.49480370662304
2,100,32,4,10000,10,0.89568,175.37949504761914,57.01920852996409,15.0973,100.0,58.49480370662304
3,100,32,4,10000,10,0.89568,168.62379941803317,59.30360977817327,15.0973,100.0,58.49480370662304
