upper_k,base_ef,factor,query_count,top_k,recall_at_k,qps,wall_s,avg_visited_shards,avg_upper_hits,avg_assigned_ef_per_visited_shard,search_batch_calls,avg_search_requests_per_query
0,48,0,1000,10,0.9239,380.63212302871443,2.627208634003182,46.0,0.0,48.0,10,1.0
0,64,0,1000,10,0.9465,342.9564263513224,2.9158223120030016,46.0,0.0,64.0,10,1.0
0,80,0,1000,10,0.9608,313.4963586335543,3.189829713999643,46.0,0.0,80.0,10,1.0
0,96,0,1000,10,0.9699,284.8372036842239,3.5107773390045622,46.0,0.0,96.0,10,1.0
0,128,0,1000,10,0.9804,248.36924683025683,4.0262633669917705,46.0,0.0,128.0,10,1.0
0,160,0,1000,10,0.9853,218.11838186857426,4.58466632400814,46.0,0.0,160.0,10,1.0
