concurrency,concurrency_evaluation_mode,upper_k,base_ef,factor,query_count,top_k,recall_at_k,qps,wall_s,avg_visited_shards,avg_upper_hits,avg_assigned_ef_per_visited_shard,search_batch_calls,avg_search_requests_per_query,routing_plan_wall_s_excluded_from_qps
1,end_to_end,100,64,6,3000,10,0.8996666666666666,422.23101481477227,7.105115196987754,17.368666666666666,109.838,102.37373814915749,30,1.0,
2,end_to_end,100,64,6,3000,10,0.8996666666666666,502.4289763055189,5.970993198003271,17.368666666666666,109.838,102.37373814915749,30,1.0,
4,end_to_end,100,64,6,3000,10,0.8996666666666666,480.5455646101164,6.242904358994565,17.368666666666666,109.838,102.37373814915749,30,1.0,
