policy,query_count,concurrency,wall_seconds,qps,client_cpu_utilization_pct,recall_at_10,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,response_bytes_per_query,response_distance_computations_per_query,response_nodes_visited_per_query,response_worker_cpu_time_us_per_query
P0,1000,64,0.8145702949987026,1227.6411331714382,14.464031001791888,0.9105,24043.730177,21430.7345,49235.02965,66384.99915999998,1344.687,24512.335,775.878,7563.979
P0,1000,128,0.8052822640020167,1241.8006017297503,14.559694748189115,0.9105,27028.780436999998,24311.767,56804.80469999997,77870.37527999996,1344.711,24512.335,775.878,7731.899
P0,1000,256,0.8082692379975924,1237.211504519709,14.531516600950956,0.9105,27761.552462,24451.11,59371.37985,80113.5975,1344.679,24512.335,775.878,7694.451
P0,1000,512,0.8037125560076674,1244.2259269500078,14.573711972577751,0.9105,29687.482976,25857.265,63197.88554999999,87717.68708999998,1344.684,24512.335,775.878,7690.677
P1,1000,64,0.7761273749929387,1288.4483040030616,14.639204003213313,0.9177000000000001,31668.204334,27710.886,70878.39675,90143.07728,1345.2,23594.765,745.422,7373.186
P1,1000,128,0.7910288959974423,1264.1763215730027,14.63002523808866,0.9177000000000001,29919.465068,26085.444,64398.12969999999,90336.49640999998,1345.183,23594.765,745.422,7314.806
P1,1000,256,0.7991053860023385,1251.3993992740698,14.59434355191034,0.9177000000000001,28218.996891,24123.652000000002,62169.344999999994,86690.67508999999,1345.201,23594.765,745.422,7306.931
P1,1000,512,0.863970057995175,1157.4475188648084,14.505602750957925,0.9177000000000001,27175.453632,21832.425,66222.27189999993,97037.44214999999,1345.223,23594.765,745.422,7371.837
P2,1000,64,0.7771252200036542,1286.7939094748433,14.49499354807595,0.9025,29311.749101,24499.751,66116.7072,88156.64424,1345.187,14620.562,445.945,4707.12
P2,1000,128,0.7830000050016679,1277.1392000155477,14.510737391343334,0.9025,27317.853401,23676.347,57999.952549999936,84500.21475999997,1345.196,14620.562,445.945,4716.681
P2,1000,256,0.7826685500040185,1277.6800600903994,14.50191139332486,0.9025,25166.840431,21951.809999999998,53085.67845,78403.40399,1345.196,14620.562,445.945,4663.948
P2,1000,512,0.7798985159897711,1282.21810850723,14.509004768574819,0.9025,27114.930719,23564.788,60852.57354999997,84475.39368,1345.176,14620.562,445.945,4719.047
P3,1000,64,0.8127559019922046,1230.3817142992477,14.581843172040026,0.9003,30494.387274,25770.964500000002,67987.25759999995,100085.77563,1344.381,14192.744,431.676,4478.655
P3,1000,128,0.7902972849988146,1265.3466220645057,14.604102366386185,0.9003,27740.900103999997,23158.788,62945.62465,83735.01119999996,1344.401,14192.744,431.676,4466.962
P3,1000,256,0.7877614929893753,1269.4197531859904,14.604754027568351,0.9003,28972.133133000003,25207.3425,63495.76414999998,84607.78979999995,1344.379,14192.744,431.676,4459.705
P3,1000,512,0.7904942599998321,1265.0313235673746,14.544642471537536,0.9003,27705.126293,23878.9495,60807.49379999997,88317.18352999998,1344.383,14192.744,431.676,4455.726
