ef_search_up,dynamic_ef_base,dynamic_ef_factor,qps,recall_at_10,avg_visited_shards,avg_total_hops,avg_l0_hops_per_visited_shard,avg_distance_computations,started_at_epoch,recall_floor
40.0,8.0,6.0,4619.51,0.83488,7.5418,393.205,64.6841,11524.5,1776410418.9682548,0.82
40.0,12.0,6.0,4266.65,0.84103,7.5418,425.064,68.8437,12463.3,1776410418.9682548,0.84
60.0,8.0,6.0,3255.96,0.86447,9.6459,567.787,73.1504,16188.1,1776410418.9682548,0.86
60.0,12.0,8.0,2626.35,0.88219,9.6459,738.979,98.1238,20252.2,1776410418.9682548,0.88
120.0,8.0,6.0,1815.67,0.90517,14.268,1073.17,88.5351,29038.9,1776410418.9682548,0.9
120.0,12.0,8.0,1467.09,0.92005,14.268,1394.69,118.564,36170.9,1776410418.9682548,0.92
