collection_name,ground_truth_source,evaluated_queries,exact_latency_queries,m,ef_construct,query_ef,full_scan_threshold,indexing_threshold,top_k,exact_latency_mean_ms,exact_latency_p50_ms,exact_latency_p95_ms,approx_latency_mean_ms,approx_latency_p50_ms,approx_latency_p95_ms,approx_server_time_mean_ms,recall_at_k_mean,recall_at_k_stddev,hit_at_1_mean,build_secs,wait_index_secs,indexed_vectors_count,points_count,segments_count,ram_data_size,disk_data_size
pressure16sweep_glove_200_angular_d200_n1183514_s4_m32_efc100_fs10,hdf5_neighbors,200,20,32,100,100,10,10,10,42.48794469749555,41.96665505878627,52.232379477936774,3.4746393479872495,3.4840524895116687,3.907074790913611,1.445515835,0.8540000000000001,0.22087100307645638,0.85,268.8412564881146,13.182914852863178,1183514,1183514,8,,
pressure16sweep_glove_200_angular_d200_n1183514_s4_m32_efc100_fs10,hdf5_neighbors,200,20,32,100,200,10,10,10,42.48794469749555,41.96665505878627,52.232379477936774,4.404373000143096,4.478096030652523,4.998199816327542,2.3642118799999996,0.9010000000000002,0.17521130100538607,0.9,268.8412564881146,13.182914852863178,1183514,1183514,8,,
pressure16sweep_glove_200_angular_d200_n1183514_s4_m32_efc100_fs10,hdf5_neighbors,200,20,32,100,400,10,10,10,42.48794469749555,41.96665505878627,52.232379477936774,6.379387305350974,6.534451153129339,7.519964152015745,4.239731185000002,0.9410000000000003,0.12049481316637659,0.945,268.8412564881146,13.182914852863178,1183514,1183514,8,,
pressure16sweep_glove_200_angular_d200_n1183514_s4_m32_efc100_fs10,hdf5_neighbors,200,20,32,100,800,10,10,10,42.48794469749555,41.96665505878627,52.232379477936774,9.891947712749243,10.274717467837036,12.050862389151005,7.638032529999993,0.9700000000000004,0.07483314773547883,0.965,268.8412564881146,13.182914852863178,1183514,1183514,8,,
pressure16sweep_glove_200_angular_d200_n1183514_s4_m32_efc100_fs10,hdf5_neighbors,200,20,32,100,1600,10,10,10,42.48794469749555,41.96665505878627,52.232379477936774,17.14785706019029,17.918254481628537,21.633928967639804,14.758369740000001,0.9850000000000004,0.044440972086577935,0.98,268.8412564881146,13.182914852863178,1183514,1183514,8,,
pressure16sweep_glove_200_angular_d200_n1183514_s4_m32_efc100_fs10,hdf5_neighbors,200,20,32,100,2000,10,10,10,42.48794469749555,41.96665505878627,52.232379477936774,20.015783618437126,20.899007562547922,24.571820232085884,17.539231674999996,0.9910000000000002,0.03192177939902473,0.99,268.8412564881146,13.182914852863178,1183514,1183514,8,,
