collection_name,create_secs,upsert_secs,wait_index_secs,total_build_secs,points_count,indexed_vectors_count,segments_count,ram_data_size,disk_data_size,optimizer_status
hnsw_formal_d128_n50000_m8_efc64_fs10,0.014474533963948488,8.142126251012087,1.017542237881571,9.174143022857606,50000,50000,2,,,ok
hnsw_formal_d128_n50000_m8_efc128_fs10,0.01796705205924809,8.15960639482364,1.0196987160015851,9.197272162884474,50000,50000,2,,,ok
hnsw_formal_d128_n50000_m8_efc256_fs10,0.0165345820132643,8.163129515945911,1.0165999149903655,9.196264012949541,50000,50000,2,,,ok
hnsw_formal_d128_n50000_m16_efc64_fs10,0.017248067073523998,8.310945827048272,1.0185020321514457,9.346695926273242,50000,50000,2,,,ok
hnsw_formal_d128_n50000_m16_efc128_fs10,0.013294350123032928,8.413848097901791,1.0166715749073774,9.443814022932202,50000,50000,2,,,ok
hnsw_formal_d128_n50000_m16_efc256_fs10,0.012765785912051797,8.274378819856793,1.5237666231114417,9.810911228880286,50000,50000,2,,,ok
hnsw_formal_d128_n50000_m32_efc64_fs10,0.014804620994254947,8.328288794960827,1.018219067947939,9.36131248390302,50000,50000,2,,,ok
hnsw_formal_d128_n50000_m32_efc128_fs10,0.01607307279482484,8.45181169686839,1.016245709033683,9.484130478696898,50000,50000,2,,,ok
hnsw_formal_d128_n50000_m32_efc256_fs10,0.014174372889101505,8.370808324078098,1.525205944897607,9.910188641864806,50000,50000,2,,,ok
