dataset,partition_method,configuration_count,pearson_model_vs_observed,spearman_model_vs_observed,mean_relative_error,maximum_relative_error,physical_point_count,pearson_physical_projection_vs_e1,spearman_physical_projection_vs_e1,physical_projection_mean_relative_error,physical_projection_trend_agreement,m_gt_4_projection_status,c1_d_aggregate_cost_status,physical_attribution_status
sift1m,random,6,1.0,1.0,0.0,0.0,3,-0.8290892855523919,-0.9999999999999998,1.0912747889205543,False,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,SUPPORTS,INSUFFICIENT
sift1m,kmeans,6,1.0,1.0,2.846256507068255e-17,1.707753904240953e-16,3,0.19822303620097545,0.4999999999999999,0.7765554336541883,True,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,SUPPORTS,SUPPORTS
