scheme,scenario,nprobe,hnsw_ef,query_count,recall_at_k,qps,wall_s
hash,full,44,32,10000,0.88581,932.028789246045,10.729282309068367
hash,selective,44,32,10000,0.88581,424.22801577133026,23.57222915091552
kmeans,full,44,80,10000,0.90023,677.3934254012232,14.762469821842387
kmeans,selective,16,96,10000,0.88547,593.9722537086019,16.835803251015022
balanced_kmeans,full,44,64,10000,0.89799,742.9062610935111,13.460648434003815
balanced_kmeans,selective,32,80,10000,0.89965,366.2537309294074,27.30347613012418
