collection_name,m,ef_construct,query_ef,full_scan_threshold,indexing_threshold,top_k,exact_latency_mean_ms,exact_latency_p50_ms,exact_latency_p95_ms,approx_latency_mean_ms,approx_latency_p50_ms,approx_latency_p95_ms,approx_server_time_mean_ms,recall_at_k_mean,recall_at_k_stddev,hit_at_1_mean,build_secs,wait_index_secs,indexed_vectors_count,points_count,segments_count,ram_data_size,disk_data_size
hnsw_smoke_d64_n2000_m8_efc64_fs10,8,64,16,10,10,10,6.105348013807088,7.090911851264536,7.511350221466273,5.844753899145871,5.62270765658468,7.431238063145429,0.31271354999999995,0.975,0.05361902647381803,1.0,0.7601969239767641,0.5124275840353221,2000,2000,2,,
hnsw_smoke_d64_n2000_m8_efc64_fs10,8,64,64,10,10,10,6.105348013807088,7.090911851264536,7.511350221466273,6.018367258366197,5.955740576609969,7.458124891854823,0.35162665000000004,1.0,0.0,1.0,0.7601969239767641,0.5124275840353221,2000,2000,2,,
hnsw_smoke_d64_n2000_m8_efc64_fs10,8,64,128,10,10,10,6.105348013807088,7.090911851264536,7.511350221466273,4.45624019484967,4.159959498792887,7.190850295592099,0.37841855,1.0,0.0,1.0,0.7601969239767641,0.5124275840353221,2000,2000,2,,
hnsw_smoke_d64_n2000_m16_efc64_fs10,16,64,16,10,10,10,1.9932528492063284,1.9468126120045781,2.245445922017098,1.7150011146441102,1.6580604715272784,2.253352862317115,0.24254044999999996,0.9949999999999999,0.021794494717703363,1.0,0.8195880288258195,0.5096474308520555,2000,2000,2,,
hnsw_smoke_d64_n2000_m16_efc64_fs10,16,64,64,10,10,10,1.9932528492063284,1.9468126120045781,2.245445922017098,1.7832445679232478,1.798211014829576,1.965207513421774,0.3017301,1.0,0.0,1.0,0.8195880288258195,0.5096474308520555,2000,2000,2,,
hnsw_smoke_d64_n2000_m16_efc64_fs10,16,64,128,10,10,10,1.9932528492063284,1.9468126120045781,2.245445922017098,2.3111036513000727,2.1134985145181417,3.298422298394144,0.41163225,1.0,0.0,1.0,0.8195880288258195,0.5096474308520555,2000,2000,2,,
