target_recall,method,case_name,repeat,recall_at_k,qps,latency_p50_batch_ms,latency_p95_batch_ms,latency_p99_batch_ms
0.9,hash_all,hash_all_r090_ef36,1,0.9009666666666667,1279.9728610388813,155.94312199391425,163.95002969074994,168.95742601249367
0.9,hash_all,hash_all_r090_ef36,2,0.9009666666666667,1279.161620372464,155.04779014736414,162.62844500597566,164.51526417862624
0.9,hash_all,hash_all_r090_ef36,3,0.9009666666666667,1284.173205437807,155.95270693302155,165.33585565630347,166.6712047951296
0.9,orion,orion_r090_u48_b48_f14_g7,1,0.9024666666666666,1455.4258641528072,136.30440295673907,145.1756650581956,145.82225054502487
0.9,orion,orion_r090_u48_b48_f14_g7,2,0.9024666666666666,1467.975798152175,135.21033083088696,142.04053541179746,144.16634693276137
0.9,orion,orion_r090_u48_b48_f14_g7,3,0.9024666666666666,1458.6857683807057,137.62435386888683,141.023557074368,141.51229307055473
0.9,simple_kmeans,simple_r090_n19_ef109_g11,1,0.9018,989.1639417959694,203.1964771449566,209.72043983638287,213.73334147036076
0.9,simple_kmeans,simple_r090_n19_ef109_g11,2,0.9018,991.9226858904738,202.14067306369543,206.328734732233,206.6159227816388
0.9,simple_kmeans,simple_r090_n19_ef109_g11,3,0.9018,1001.2316350970051,200.47866110689938,207.96186784282327,209.888652022928
0.95,hash_all,hash_all_r095_ef71,1,0.9508,969.5682053706614,206.91165304742754,216.62030993029475,222.74937158450484
0.95,hash_all,hash_all_r095_ef71,2,0.9508,962.0459731926234,208.61691399477422,213.62126991152763,214.8537604138255
0.95,hash_all,hash_all_r095_ef71,3,0.9508,952.9273947946429,207.60755403898656,221.86734008137137,227.98601042944935
0.95,orion,orion_r095_u112_b64_f16_g8,1,0.9527666666666667,945.0100777962217,209.70874885097146,220.6241470295936,220.87550145573914
0.95,orion,orion_r095_u112_b64_f16_g8,2,0.9527666666666667,957.8292004402844,210.11613891460001,219.84270527027547,220.61163063161075
0.95,orion,orion_r095_u112_b64_f16_g8,3,0.9527666666666667,953.642178949541,209.3756061512977,216.15585729014128,217.2727891197428
0.95,simple_kmeans,simple_r095_n26_ef210_g10,1,0.9513,586.1457446526348,342.7655720151961,356.25506290234625,362.7086373139173
0.95,simple_kmeans,simple_r095_n26_ef210_g10,2,0.9513,594.3650323115421,337.7307790797204,346.5484561165795,347.61010229121894
0.95,simple_kmeans,simple_r095_n26_ef210_g10,3,0.9513,593.4293898108353,338.97910197265446,351.2360001215711,354.3161551328376
