concurrency,upper_k,base_ef,factor,query_count,top_k,recall_at_k,qps,wall_s,avg_visited_shards,avg_upper_hits,avg_assigned_ef_per_visited_shard,routing_plan_wall_s_excluded_from_qps
1,100,32,4,10000,10,0.89843,388.4961701020336,25.740279492005357,16.8671,109.0733,57.86652121585809,1.1147107479919214
2,100,32,4,10000,10,0.89843,583.5385210091383,17.136829258000944,16.8671,109.0733,57.86652121585809,1.1147107479919214
4,100,32,4,10000,10,0.89843,480.6384283022443,20.805660578000243,16.8671,109.0733,57.86652121585809,1.1147107479919214
8,100,32,4,10000,10,0.89843,522.4934855203984,19.13899460399989,16.8671,109.0733,57.86652121585809,1.1147107479919214
16,100,32,4,10000,10,0.89843,509.9437626787639,19.610005517999525,16.8671,109.0733,57.86652121585809,1.1147107479919214
32,100,32,4,10000,10,0.89843,551.913640806438,18.118776671995874,16.8671,109.0733,57.86652121585809,1.1147107479919214
