对比	目标	batch_size	Method4 Recall	Naive Recall	QPS变化(%)	visited变化(%)	EF-sum变化(%)	P95变化(%)	P99变化(%)	Naive QPS CV	边界标记
batch200_097_m4_160_80_20_vs_naive_ef112	~0.97 strict batch=200	200	0.97183	0.97277	88.01	-46.40	7.18	-67.32	-69.33	0.307	supports_through_about_0.97_at_batch200; naive_batch200_tail_unstable_so_report_strict_same_batch_and_stable_batch100_context
batch200_099_m4_400_160_20_vs_naive_ef200	~0.99 boundary batch=200	200	0.98950	0.99017	30.53	-25.48	56.78	-54.26	-58.41	0.176	method4_recall_below_0.99_and_below_naive; use_as_batch200_boundary_evidence_not_0.99_dominance
