ef_search_up,dynamic_ef_base,dynamic_ef_factor,qps,recall_at_10,avg_visited_shards,avg_total_hops,avg_l0_hops_per_visited_shard,avg_distance_computations,started_at_epoch,recall_floor
140.0,8.0,2.0,2380.97,0.85468,19.7202,667.079,32.6899,20365.7,1776412196.5768912,0.82
140.0,8.0,2.0,2380.97,0.85468,19.7202,667.079,32.6899,20365.7,1776412196.5768912,0.84
140.0,12.0,2.0,2234.25,0.86306,19.7202,753.263,37.0142,22982.6,1776412196.5768912,0.86
140.0,8.0,4.0,1895.81,0.89178,19.7202,975.742,54.8242,27623.8,1776412196.5768912,0.88
140.0,16.0,4.0,1640.58,0.90086,19.7202,1141.4,63.1713,32421.2,1776412196.5768912,0.9
140.0,8.0,8.0,1335.61,0.92408,19.7202,1587.9,98.9042,40381.7,1776412196.5768912,0.92
