concurrency,concurrency_evaluation_mode,search_dispatch_mode,upper_k,base_ef,factor,query_count,top_k,recall_at_k,qps,wall_s,avg_visited_shards,avg_upper_hits,avg_assigned_ef_per_visited_shard,search_batch_calls,avg_search_requests_per_query,routing_plan_wall_s_excluded_from_qps
1,end_to_end,direct_peer,100,64,6,3000,10,0.8998333333333334,365.3119796796058,8.212158831011038,17.340666666666667,109.845,102.44160163007957,90,2.929333333333333,
2,end_to_end,direct_peer,100,64,6,3000,10,0.8998333333333334,471.9462053835897,6.356656682008179,17.340666666666667,109.845,102.44160163007957,90,2.929333333333333,
4,end_to_end,direct_peer,100,64,6,3000,10,0.8998333333333334,655.1685347347121,4.578974479009048,17.340666666666667,109.845,102.44160163007957,90,2.929333333333333,
