collection_name,ground_truth_source,evaluated_queries,exact_latency_queries,m,ef_construct,query_ef,full_scan_threshold,indexing_threshold,top_k,exact_latency_mean_ms,exact_latency_p50_ms,exact_latency_p95_ms,approx_latency_mean_ms,approx_latency_p50_ms,approx_latency_p95_ms,approx_server_time_mean_ms,recall_at_k_mean,recall_at_k_stddev,hit_at_1_mean,build_secs,wait_index_secs,indexed_vectors_count,points_count,segments_count,ram_data_size,disk_data_size
hnsw_glove_single_efscale_glove_200_angular_d200_n1183514_s1_m32_efc100_fs10,hdf5_neighbors,10000,100,32,100,120,10,10,10,102.84150327788666,98.56882703024894,117.08707970101386,4.111720537836663,4.015930462628603,5.137177114374934,1.90806509469999,0.8051799999999881,0.27121424667594435,0.8395,294.4878830600064,18.30536886001937,1183514,1183514,2,,
hnsw_glove_single_efscale_glove_200_angular_d200_n1183514_s1_m32_efc100_fs10,hdf5_neighbors,10000,100,32,100,160,10,10,10,102.84150327788666,98.56882703024894,117.08707970101386,4.486390476720407,4.4643605360761285,5.730211012996731,2.3081320615999883,0.8288399999999899,0.2510303854118063,0.8604,294.4878830600064,18.30536886001937,1183514,1183514,2,,
hnsw_glove_single_efscale_glove_200_angular_d200_n1183514_s1_m32_efc100_fs10,hdf5_neighbors,10000,100,32,100,200,10,10,10,102.84150327788666,98.56882703024894,117.08707970101386,4.83534796340391,4.808961530216038,6.233832484576849,2.713475104500001,0.8457399999999891,0.2362961116903958,0.8776,294.4878830600064,18.30536886001937,1183514,1183514,2,,
hnsw_glove_single_efscale_glove_200_angular_d200_n1183514_s1_m32_efc100_fs10,hdf5_neighbors,10000,100,32,100,300,10,10,10,102.84150327788666,98.56882703024894,117.08707970101386,6.242082618549466,6.223968812264502,8.087820746004578,3.8980135512999987,0.8720599999999847,0.21007940498773317,0.9011,294.4878830600064,18.30536886001937,1183514,1183514,2,,
hnsw_glove_single_efscale_glove_200_angular_d200_n1183514_s1_m32_efc100_fs10,hdf5_neighbors,10000,100,32,100,620,10,10,10,102.84150327788666,98.56882703024894,117.08707970101386,9.205638050660491,9.303088067099452,12.337896425742649,6.917979806099989,0.9115699999999831,0.16255194585116475,0.934,294.4878830600064,18.30536886001937,1183514,1183514,2,,
hnsw_glove_single_efscale_glove_200_angular_d200_n1183514_s1_m32_efc100_fs10,hdf5_neighbors,10000,100,32,100,1860,10,10,10,102.84150327788666,98.56882703024894,117.08707970101386,15.685055709397421,13.878486934117973,26.41978987958282,13.177444961499996,0.9557499999999789,0.0978924792821185,0.9716,294.4878830600064,18.30536886001937,1183514,1183514,2,,
