dataset,logical_shards,metric,difference_definition,favorable_direction,orion_mean,kmeans_mean,mean_difference,relative_difference_vs_kmeans,bootstrap_ci95_low,bootstrap_ci95_high,paired_query_count,bootstrap_replicates,bootstrap_seed,conclusion
sift1m,2,achieved_recall_at_10,Orion minus K-Means,higher_favors_orion,0.9144444444444444,0.9146333333333334,-0.00018888888888888883,-0.00020651870209069807,-0.0014444444444444444,0.001077777777777778,9000,10000,20261024,INCONCLUSIVE
sift1m,2,common_ef_mean_local_target_recall,Orion minus K-Means,higher_favors_orion,0.9144558641975309,0.9146972222222222,-0.00024135802469135796,-0.0002638665766415993,-0.0015031172839506174,0.0010371913580246891,9000,10000,20261025,INCONCLUSIVE
sift1m,2,common_ef_target_weighted_recall,Orion minus K-Means,higher_favors_orion,0.9144444444444444,0.9146333333333334,-0.00018888888888888883,-0.00020651870209069807,-0.0014444444444444446,0.0010888888888888886,9000,10000,20261026,INCONCLUSIVE
sift1m,2,common_ef_mean_relevant_distance_computations,Orion minus K-Means,lower_favors_orion,857.9806111111111,861.1973333333333,-3.2167222222222223,-0.0037351743877000187,-4.957763888888889,-1.4706041666666667,9000,10000,20261027,ORION_FAVORED
sift1m,2,P_exact,Orion minus K-Means,lower_favors_orion,1.0004444444444445,1.001111111111111,-0.0006666666666666666,-0.0006659267480577137,-0.0013333333333333333,-0.00011111111111111112,9000,10000,20261028,ORION_FAVORED
sift1m,2,P_HNSW,Orion minus K-Means,lower_favors_orion,1.4334444444444445,1.4302222222222223,0.0032222222222222222,0.002252952144188937,-0.006111111111111111,0.012444444444444444,9000,10000,20261029,INCONCLUSIVE
sift1m,2,Delta_P,Orion minus K-Means,lower_favors_orion,0.433,0.4291111111111111,0.0038888888888888888,0.009062661833247021,-0.005222222222222222,0.013111111111111112,9000,10000,20261030,INCONCLUSIVE
sift1m,2,W90,Orion minus K-Means,lower_favors_orion,1005.4244444444445,1008.3376666666667,-2.913222222222222,-0.0028891335893983486,-6.608525,0.748122222222222,9000,10000,20261031,INCONCLUSIVE
sift1m,2,full_fanout_wall_us,Orion minus K-Means,lower_favors_orion,11077.224850888888,11070.578056999999,6.646793888888876,0.000600401700314652,-84.55813857222222,95.92223670277772,9000,10000,20261032,INCONCLUSIVE
sift1m,2,total_distance_computations,Orion minus K-Means,lower_favors_orion,1531.7601111111112,1525.8338888888889,5.926222222222222,0.0038839235813130962,2.055083333333333,9.830338888888889,9000,10000,20261033,KMEANS_FAVORED
