run,started_at_epoch,batch_size,hnsw_ef,query_count,top_k,recall_at_k,qps,wall_s
1,1776255045.7794037,100,30,10000,10,0.88083,809.5792190392635,12.35209571197629
2,1776255058.132009,100,30,10000,10,0.88083,844.0156789552857,11.848121130140498
3,1776255069.9805906,100,30,10000,10,0.88083,906.112523565075,11.036156923044473
4,1776255081.0172124,100,30,10000,10,0.88083,906.8004737091734,11.027784270001575
5,1776255092.0455246,100,30,10000,10,0.88083,929.5526746584342,10.757862650090829
