run,upper_k,base_ef,factor,query_count,top_k,recall_at_k,qps,wall_s,avg_visited_shards,avg_upper_hits,avg_assigned_ef_per_visited_shard
1,100,20,4,10000,10,0.88495,174.0926982921195,57.440662923268974,15.1264,100.0,46.44383329807489
2,100,20,4,10000,10,0.88495,176.05738353853644,56.799662695266306,15.1264,100.0,46.44383329807489
3,100,20,4,10000,10,0.88495,173.3185837055453,57.69721737969667,15.1264,100.0,46.44383329807489
