dataset,logical_shards,policy,selected_concurrency,repetitions,recall_at_10,qps_mean,qps_cv,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,mean_shards_per_query,aggregate_distance_computations_per_query,p95_max_shard_distance_computations,controller_combined_cpu_utilization_pct,mean_worker_cpu_utilization_pct,client_aggregator_cpu_utilization_pct,cluster_network_bytes_per_query,response_bytes_per_query,official_measurement_query_count,protocol_query_count_exception,controller_cpu_includes_colocated_local_shard,saturation_boundary_reached,stable_repetition_cv_gate,physical_run_valid
sift1m,4,P0,128,5,0.9311999999999999,1387.0192655012147,0.10814135878502439,34475.830815,21002.341099999998,109310.63670999995,169510.77947200002,1.0,1587.7634444444445,2185.0,9.40802031175206,3.8992139392475567,15.151121213214315,7134.674955555555,1332.2448222222222,9000,"official dataset has 10000 queries; 1000 tuning queries excluded, so all 9000 remaining official queries are measured",True,True,False,False
sift1m,4,P1,64,3,0.9486444444444443,1367.4488469697562,0.01563747868486441,29203.6848447037,21999.272833333333,83376.88788333329,122257.14451333343,1.5358888888888889,1381.1913333333334,1269.0499999999993,11.188240731299366,4.345618678824263,14.999991356018,7294.131851851852,1332.1286296296296,9000,"official dataset has 10000 queries; 1000 tuning queries excluded, so all 9000 remaining official queries are measured",True,True,True,True
sift1m,4,P2,64,5,0.9392555555555555,1352.5876614216209,0.08328122075054267,25025.036222266666,17264.5144,75662.09753999997,111265.17839600003,1.0,2199.4505555555556,3236.0,9.528882762743056,4.395738368739483,14.873493868824664,7098.492111111111,1333.5048000000002,9000,"official dataset has 10000 queries; 1000 tuning queries excluded, so all 9000 remaining official queries are measured",True,True,False,False
sift1m,4,P3,64,5,0.9912777777777778,1388.7593575928315,0.05290734875235619,23363.658179555554,17019.7142,64571.179679999965,98985.20552200012,1.5358888888888889,2534.556777777778,3236.0,11.374801188344922,5.597772722840412,14.7971539592784,7294.873,1334.0731777777778,9000,"official dataset has 10000 queries; 1000 tuning queries excluded, so all 9000 remaining official queries are measured",True,True,False,False
