dataset,logical_shards,common_ef_search,static_p,p0_recall_at_10,p1_recall_at_10,recall_gate_valid,p0_mean_shards,p1_mean_shards,p4_mean_shards,mean_shards_saved,p0_work,p1_work,paired_work_relative_reduction,paired_work_ci95_low,paired_work_ci95_high,fraction_fewer_shards,fraction_equal_shards,fraction_more_shards
glove-200-angular,4,256,3,0.9099777777777778,0.9159777777777777,True,3.0,2.9133333333333336,1.962888888888889,0.08666666666666667,24512.03888888889,23739.638222222224,0.047337414159501164,0.04157128147671256,0.05321893004721846,0.24255555555555555,0.527,0.23044444444444445
glove-200-angular,8,256,4,0.9116444444444444,0.931188888888889,True,4.0,4.5215555555555556,2.67,-0.5215555555555556,32889.327666666664,37975.05811111111,-0.12352182898320468,-0.1326631471743763,-0.1142595610743697,0.27011111111111114,0.1918888888888889,0.538
glove-200-angular,16,128,10,0.9021444444444444,0.8990888888888889,False,10.0,6.218111111111111,3.421666666666667,3.781888888888889,46230.373555555554,28671.794555555556,0.3922679983784489,0.3856276091917611,0.39894618036898905,0.8451111111111111,0.07466666666666667,0.08022222222222222
glove-200-angular,32,128,14,0.9032555555555556,0.9016444444444445,True,14.0,8.064666666666668,5.5088888888888885,5.935333333333333,61582.52777777778,35870.612,0.4321703178096745,0.4251643280861149,0.4388824989119422,0.8672222222222222,0.041,0.09177777777777778
sift1m,4,32,2,0.9453555555555556,0.9486333333333334,True,2.0,1.5358888888888889,1.1387777777777779,0.4641111111111111,1704.5225555555555,1381.1913333333334,0.20222871207735035,0.19538927115645302,0.20894866893882516,0.5985555555555555,0.268,0.13344444444444445
sift1m,8,32,2,0.9358888888888889,0.9568666666666665,True,2.0,2.433777777777778,1.3417777777777777,-0.43377777777777776,1707.0432222222223,2092.4835555555555,-0.21158951993765818,-0.22442485655174366,-0.1988386020291851,0.2574444444444444,0.3708888888888889,0.37166666666666665
sift1m,16,32,3,0.9495333333333332,0.9650777777777778,True,3.0,3.884333333333333,1.6483333333333334,-0.8843333333333333,2487.6475555555558,3195.5223333333333,-0.2734497336043516,-0.2844094896403807,-0.2626156437783719,0.19411111111111112,0.2061111111111111,0.5997777777777777
sift1m,32,16,6,0.9113777777777777,0.9168333333333333,True,6.0,5.994777777777778,2.074666666666667,0.005222222222222222,2810.5044444444443,2757.2542222222223,0.02191799419833619,0.012744393495290548,0.031228486320187696,0.44366666666666665,0.138,0.41833333333333333
