dataset,logical_shards,fixed_p,uniform_ef_search,adaptive_alpha,adaptive_beta,p0_recall_at_10,p2_recall_at_10,p5_recall_at_10,recall_gate_valid,p0_work,p2_work,p5_work,paired_work_relative_reduction,paired_work_ci95_low,paired_work_ci95_high,p0_p95_max_shard_work,p2_p95_max_shard_work,p5_p95_max_shard_work,spearman_ep_vs_gt_contribution,spearman_ep_vs_oracle_work
glove-200-angular,4,3,256,8,32,0.9099777777777778,0.9036,0.9000555555555556,True,24512.03888888889,16513.373333333333,8513.22311111111,0.33043830879413527,0.328585475834541,0.332264738483192,12909.0,16258.05,22959.249999999996,0.8650503452207765,0.3174173546837555
glove-200-angular,8,4,256,8,64,0.9116444444444444,0.9032111111111111,0.8959111111111111,True,32889.327666666664,21489.98122222222,8799.813777777777,0.349067992278826,0.3477838572783375,0.35034272187998744,12867.0,15277.05,21686.149999999998,0.8281846449905753,0.25769981491241967
glove-200-angular,16,10,128,8,32,0.9021444444444444,0.9082555555555556,0.9142222222222223,True,46230.373555555554,26814.55277777778,12051.18,0.42249952104370325,0.42124958853744643,0.4237078462338989,7168.0,13249.05,18279.05,0.6735807054510171,-0.0382816538352052
glove-200-angular,32,14,128,16,4,0.9032555555555556,0.9068777777777778,0.9050222222222222,True,61582.52777777778,28142.573333333334,13392.90288888889,0.5462629346248522,0.544412753624235,0.5480958817947387,6721.0,15906.099999999984,13556.64999999999,0.6286910366564433,-0.07273059626491941
sift1m,4,2,32,1,4,0.9453555555555556,0.9881777777777778,0.9461999999999999,True,1704.5225555555555,2705.6046666666666,1194.9958888888889,-0.5808491533316377,-0.5858053107631135,-0.5758329502354236,1277.0,3236.0,2057.0499999999993,0.9543744859964375,0.4592392656181589
sift1m,8,2,32,1,4,0.9358888888888889,0.9700111111111112,0.9335444444444444,True,1707.0432222222223,2549.101222222222,1149.175,-0.48694022927582753,-0.49070036094028757,-0.48311384957133013,1225.0,2926.0499999999993,1955.0,0.9437450201244995,0.38624584157659636
sift1m,16,3,32,1,4,0.9495333333333332,0.9728000000000001,0.9377444444444445,True,2487.6475555555558,2731.1123333333335,1404.392,-0.09447619084155992,-0.09650613393738987,-0.09238310114339614,1214.0,2485.0499999999993,1725.0,0.9073562541034762,0.27768118986908935
sift1m,32,6,16,1,4,0.9113777777777777,0.9794,0.945,True,2810.5044444444443,3527.2058888888887,2281.854333333333,-0.2532437160334268,-0.25519182359182274,-0.25130947058191616,802.0,2200.0499999999993,1426.0499999999993,0.8101376551685724,0.14627861133715497
