policy,config_id,config,query_count,recall_at_10,p5_per_query_recall,mean_shards_per_query,p95_shards_per_query,aggregate_distance_computations_per_query,p95_aggregate_distance_computations,max_shard_distance_computations_mean,p95_max_shard_distance_computations,p99_max_shard_distance_computations,aggregate_nodes_visited_per_query,p95_max_shard_nodes_visited,worker_cpu_time_us_per_query
P0,0b49a0aa365c7f1e,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.6966,0.2,1.0,1.0,434.482,630.1499999999999,434.482,630.1499999999999,732.01,12.119,16.0,268.603
P0,c2fa85a3f0ab9945,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.761,0.3,1.0,1.0,575.18,811.0999999999999,575.18,811.0999999999999,902.03,17.747,22.0,303.236
P0,5c045e7c45e353d8,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.8278,0.4,1.0,1.0,928.271,1244.3499999999997,928.271,1244.3499999999997,1356.08,32.978,36.0,391.463
P0,21ab6f22997bc6b1,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.8623,0.4,1.0,1.0,1582.36,2135.0,1582.36,2135.0,2324.02,64.403,66.0,559.859
P0,417e843a3088d802,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.8723,0.4,1.0,1.0,2753.024,3748.2,2753.024,3748.2,4095.1,128.131,129.0,876.296
P0,c324b6c6b7211da0,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.8749,0.4,1.0,1.0,4757.311,6577.0,4757.311,6577.0,7272.05,256.08,257.0,1450.962
P0,b5b284e41d984446,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":512,""ef_min"":8,""ef_max"":512}",1000,0.8754,0.4,1.0,1.0,8072.68,11276.8,8072.68,11276.8,12412.529999999999,512.067,513.0,2486.405
P0,0d52546b9c48598c,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.7887000000000001,0.4,2.0,2.0,816.845,1097.05,460.812,642.0999999999999,737.06,26.695,23.0,456.733
P0,f8ff35239f22d22d,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.8586,0.5,2.0,2.0,1089.62,1447.1499999999999,607.994,835.05,927.03,37.98,30.0,522.887
P0,08f3182b3aa721f6,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.9295,0.7,2.0,2.0,1774.232,2315.1499999999996,972.374,1261.0,1364.03,68.271,44.0,686.964
P0,da67bf187de3789d,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.9648,0.8,2.0,2.0,3056.55,4018.1499999999996,1661.587,2150.25,2326.1099999999997,131.111,74.0,1000.813
P0,af38d3533799fe47,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.9753,0.8,2.0,2.0,5349.512,7132.1,2896.125,3756.2,4095.1,258.388,138.0,1602.828
P0,dcb39bd612eae981,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.9781,0.9,2.0,2.0,9272.87,12525.8,5014.831,6577.599999999999,7272.05,514.181,265.0,2677.433
P0,0829f8f57ab849e7,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":512,""ef_min"":8,""ef_max"":512}",1000,0.9785,0.9,2.0,2.0,15745.477,21473.699999999997,8524.347,11292.15,12412.529999999999,1026.097,521.0,4619.395
P0,0d78a84c38598d90,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.8032999999999999,0.4,3.0,3.0,1183.454,1484.1,479.462,650.05,759.03,45.153,28.0,628.51
P0,9ded195fc9ecf68a,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.8743,0.6,3.0,3.0,1572.106,1975.05,628.111,840.0,944.04,62.353,34.0,719.811
P0,c6de7039a08707d0,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.9457000000000001,0.8,3.0,3.0,2540.72,3184.3999999999996,997.045,1265.1,1364.03,107.742,50.049999999999955,951.027
P0,68ad1afbe4eba899,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.9807,0.9,3.0,3.0,4372.213,5552.1,1700.509,2155.2,2326.1099999999997,201.529,79.0,1391.051
P0,85591d2ad956ddf2,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.9911,0.9,3.0,3.0,7685.456,9697.449999999999,2965.016,3778.05,4095.1,392.016,140.0,2243.036
P0,0f1cf690f7612a1e,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.9939,1.0,3.0,3.0,13417.396,17014.35,5150.27,6577.599999999999,7272.05,775.329,267.0,3790.556
P0,4ce505dd83497fff,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":512,""ef_min"":8,""ef_max"":512}",1000,0.9943,1.0,3.0,3.0,22914.291,29129.7,8800.849,11292.15,12412.529999999999,1543.088,523.0,6583.907
P0,99f64554f021592d,"{""policy"":""P0"",""fixed_p"":4,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.807,0.4,4.0,4.0,1572.545,1954.0,504.046,672.0,770.03,65.047,30.0,817.166
P0,a3004f723fadd8fe,"{""policy"":""P0"",""fixed_p"":4,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.8784,0.6,4.0,4.0,2081.664,2565.6499999999996,654.248,860.0999999999999,949.01,88.375,37.0,937.849
