dataset,logical_shards,policy,selected_concurrency,repetitions,recall_at_10,qps_mean,qps_cv,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,mean_shards_per_query,aggregate_distance_computations_per_query,p95_max_shard_distance_computations,controller_combined_cpu_utilization_pct,mean_worker_cpu_utilization_pct,client_aggregator_cpu_utilization_pct,cluster_network_bytes_per_query,response_bytes_per_query,official_measurement_query_count,measurement_cycles,executed_measurement_requests_per_repetition,protocol_query_count_exception,controller_cpu_includes_colocated_local_shard,saturation_boundary_reached,stable_repetition_cv_gate,physical_run_valid
sift1m,4,P0,128,3,0.9311999999999999,1300.8561479510265,0.04066352978750622,28825.160254018516,12920.863666666666,109484.38311666664,173195.61965666665,1.0,1587.7634444444445,2185.0,9.07980032317465,3.6606747592369806,14.89390243822988,7138.594574074074,1332.246425925926,9000,2,18000,"official dataset has 10000 queries; 1000 tuning queries are excluded, all 9000 remaining unique queries are measured in identical repeated cycles",True,True,True,True
sift1m,4,P1,128,5,0.9486444444444444,1278.0205052752979,0.09174472764282057,34013.57960526667,16116.4674,121678.81827999998,185119.3867939998,1.5358888888888889,1381.1913333333334,1269.0499999999993,10.707703983480288,4.063368365940887,15.035119976266497,7330.6024333333335,1332.1404444444445,9000,2,18000,"official dataset has 10000 queries; 1000 tuning queries are excluded, all 9000 remaining unique queries are measured in identical repeated cycles",True,True,False,False
sift1m,4,P2,64,3,0.9392555555555555,1140.422372715928,0.04552407376749221,18441.148462814814,6884.789,73167.79401666661,115851.14925666632,1.0,2199.4505555555556,3236.0,8.885208075308931,3.734142706824086,14.624797919853401,7132.0645,1333.4887037037035,9000,2,18000,"official dataset has 10000 queries; 1000 tuning queries are excluded, all 9000 remaining unique queries are measured in identical repeated cycles",True,True,True,True
sift1m,4,P3,64,3,0.9912777777777778,1155.325891526472,0.03239154258765451,12289.566546296295,5924.980333333333,46395.33449999999,86991.30480999965,1.5358888888888889,2534.556777777778,3236.0,10.44935306053968,4.682429860893009,14.483603072629926,7328.644925925927,1334.0873148148148,9000,2,18000,"official dataset has 10000 queries; 1000 tuning queries are excluded, all 9000 remaining unique queries are measured in identical repeated cycles",True,True,True,True
