policy,config_id,config,query_count,recall_at_10,p5_per_query_recall,mean_shards_per_query,p95_shards_per_query,aggregate_distance_computations_per_query,p95_aggregate_distance_computations,max_shard_distance_computations_mean,p95_max_shard_distance_computations,p99_max_shard_distance_computations,aggregate_nodes_visited_per_query,p95_max_shard_nodes_visited,worker_cpu_time_us_per_query
P2,70ac05390a62db10,"{""policy"":""P2"",""fixed_p"":12,""alpha"":8,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.9035,0.5,12.0,12.0,22938.557,29152.299999999992,7552.786,12732.499999999998,14252.34,692.879,400.0,7534.351
P2,56f4269c80d42259,"{""policy"":""P2"",""fixed_p"":12,""alpha"":8,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.9145,0.6,12.0,12.0,29847.164,37109.35,7979.054,13157.1,14731.71,891.005,416.0,9576.739
P2,73c4a40ef37e3e66,"{""policy"":""P2"",""fixed_p"":12,""alpha"":8,""beta"":64,""ef_min"":8,""ef_max"":512}",1000,0.9276,0.6,12.0,12.0,42401.906,50938.65,8825.742,14120.049999999996,15697.099999999999,1269.962,448.0,13315.257
P2,155157966dd0c4da,"{""policy"":""P2"",""fixed_p"":12,""alpha"":16,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.9247000000000001,0.6,12.0,12.0,27912.354,39013.899999999994,11402.052,18331.4,20110.239999999998,908.805,512.0,9105.515
P2,b3794dc6741da489,"{""policy"":""P2"",""fixed_p"":12,""alpha"":16,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.9269,0.6,12.0,12.0,28746.681,40703.4,11463.48,18343.0,20227.06,932.788,512.0,9349.284
P2,8f2d08a7eb691ee3,"{""policy"":""P2"",""fixed_p"":12,""alpha"":16,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.9305,0.6950000000000003,12.0,12.0,31874.311,44425.649999999994,11583.008,18343.0,20273.79,1020.428,512.0,10232.04
P2,a37744a01a018757,"{""policy"":""P2"",""fixed_p"":12,""alpha"":16,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.9367000000000001,0.7,12.0,12.0,38448.477,51670.9,11811.812,18609.95,20430.85,1209.925,512.0,12235.928
P2,97b7d97b01ba6868,"{""policy"":""P2"",""fixed_p"":12,""alpha"":16,""beta"":64,""ef_min"":8,""ef_max"":512}",1000,0.9449,0.7,12.0,12.0,50445.943,65255.29999999999,12255.372,18914.8,20782.36,1572.46,513.0,15753.027
P2,7305fb396ab1c379,"{""policy"":""P2"",""fixed_p"":13,""alpha"":1,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.7485,0.2,13.0,13.0,9273.58,10894.2,1479.145,2307.05,2608.1099999999997,255.16,52.0,3562.392
P2,39bca1c09d946d42,"{""policy"":""P2"",""fixed_p"":13,""alpha"":1,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.7664,0.2,13.0,13.0,9684.798,11210.249999999998,1608.276,2472.05,2871.4299999999994,266.366,56.0,3684.637
P2,be3360354a621769,"{""policy"":""P2"",""fixed_p"":13,""alpha"":1,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.7948999999999999,0.3,13.0,13.0,13494.427,15339.15,1925.558,2827.2,3136.09,366.643,64.0,4788.611
P2,02d390564bde4ba0,"{""policy"":""P2"",""fixed_p"":13,""alpha"":1,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.8336,0.4,13.0,13.0,21375.771,24335.85,2632.181,3493.0,3817.1,583.291,80.0,7093.086
P2,b995b714b01bce1d,"{""policy"":""P2"",""fixed_p"":13,""alpha"":1,""beta"":64,""ef_min"":8,""ef_max"":512}",1000,0.8782000000000001,0.5,13.0,13.0,35486.21,40369.05,4043.332,4943.0,5310.13,994.285,112.0,11243.559
P2,06a563f51d729c1e,"{""policy"":""P2"",""fixed_p"":13,""alpha"":2,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.8059,0.3,13.0,13.0,10712.639,12571.05,2398.77,4015.05,4447.0599999999995,299.003,100.0,3986.412
P2,5f2aeb53044e1740,"{""policy"":""P2"",""fixed_p"":13,""alpha"":2,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.8155,0.3,13.0,13.0,11303.953,13191.699999999999,2525.611,4161.05,4625.04,315.143,104.0,4154.05
P2,1ab704538d5a7d15,"{""policy"":""P2"",""fixed_p"":13,""alpha"":2,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.8331000000000001,0.4,13.0,13.0,15139.144,17543.55,2795.252,4464.2,4938.18,417.066,112.0,5264.073
