policy,repetition,query_count,concurrency,wall_seconds,qps,recall_at_10,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,response_bytes_per_query,response_distance_computations_per_query,response_nodes_visited_per_query,response_worker_cpu_time_us_per_query,controller_combined_cpu_utilization_pct,mean_worker_cpu_utilization_pct,max_worker_cpu_utilization_pct,cluster_network_bytes_per_query
P0,1,9000,64,8.722782010001538,1031.78091458443,0.9311999999999999,6392.012908777778,5482.71,12010.698749999998,24309.511350000023,1332.2473333333332,1587.7634444444445,64.36344444444444,567.4716666666667,5.021333784310893,1.790330957343724,3.118271208521833,7141.020111111111
P0,2,9000,64,7.550036256005114,1192.0472557786222,0.9311999999999999,21161.805417666666,9078.539,72541.52244999999,111164.36397000005,1332.2494444444444,1587.7634444444445,64.36344444444444,567.1636666666667,5.297987803460543,2.0529702738409603,3.589386736844518,7115.951666666667
P0,3,9000,64,7.055349444999592,1275.6278154838467,0.9311999999999999,20946.638008444446,9492.3675,67898.90909999999,106205.85555000002,1332.2454444444445,1587.7634444444445,64.36344444444444,563.8535555555555,5.265508149469434,2.1945522973786917,3.8410570888458047,7108.604888888889
P0,4,9000,64,8.659818211999664,1039.2827862747693,0.9311999999999999,17214.496386777777,6535.948,73392.19769999999,121837.35684000001,1332.2482222222222,1587.7634444444445,64.36344444444444,570.7851111111111,5.144449792060107,1.8052726917143211,3.1524911183668,7134.694777777778
P0,5,9000,64,8.851135960998363,1016.8186365747392,0.9311999999999999,12896.287750333335,6002.2595,58230.219499999985,102743.21459000009,1332.2462222222223,1587.7634444444445,64.36344444444444,568.5398888888889,5.067146205597451,1.762485636729548,3.0730518794258788,7140.450333333333
P1,1,9000,64,6.4882885350016295,1387.1146376195707,0.9486444444444444,20049.707775666666,8972.4915,67250.5897,99130.27668000004,1332.1464444444443,1381.1913333333334,50.70366666666666,537.2284444444444,6.373021140618805,2.6920298893061294,3.475492786480147,7298.666666666667
P1,2,9000,64,7.0681744779940345,1273.313219420444,0.9486444444444444,22924.08743711111,12308.422,72184.45359999992,103241.17710000006,1332.1587777777777,1381.1913333333334,50.70366666666666,547.3556666666667,6.246308737490289,2.473528828096381,3.1903570108812236,7300.172555555556
P1,3,9000,64,6.080220208001265,1480.209547041808,0.9486444444444444,31937.776087666665,26154.377,82989.65044999977,121075.44306000009,1332.141111111111,1381.1913333333334,50.70366666666666,538.2725555555555,6.496475234239047,2.858997328823344,3.6923004812320657,7282.405111111111
P1,4,9000,64,7.5624110709977685,1190.0966392207188,0.9486444444444444,12525.001190333332,5784.431500000001,49715.945749999984,90122.41052000006,1332.156,1381.1913333333334,50.70366666666666,544.0304444444445,6.162055931965055,2.327300094476072,3.0016881900344794,7325.491222222222
P1,5,9000,64,7.935882403005962,1134.0893857740343,0.9486444444444444,20985.002277444444,7450.7315,80675.70179999995,120470.22781000003,1332.1683333333333,1381.1913333333334,50.70366666666666,552.8136666666667,6.243792118344823,2.2282756264930565,2.8667259473732534,7318.472444444445
P2,1,9000,64,8.748727639998833,1028.721017540009,0.9392555555555555,10447.717430444443,6050.589,38953.5676999999,85080.51882000004,1333.5325555555555,2199.4505555555556,96.56966666666666,745.4787777777777,5.183610905048822,2.0612521129227583,3.7148258966722545,7145.931
P2,2,9000,64,6.386074699999881,1409.3164303261544,0.9392555555555555,19125.890047,8672.6665,63009.51079999997,93899.16302000005,1333.577,2199.4505555555556,96.56966666666666,734.3562222222222,5.410209185307626,2.805583634445585,5.073539149174156,7112.0218888888885
P2,3,9000,64,7.225732723003603,1245.5484232551114,0.9392555555555555,28510.079353666668,16808.378,88098.4757,125730.45280000003,1333.5567777777778,2199.4505555555556,96.56966666666666,742.6833333333333,5.4388947815473205,2.4749508484309897,4.477054610255872,7118.572111111112
P2,4,9000,64,8.70191464600066,1034.2551456921424,0.9392555555555555,12847.028635444443,6303.38,54303.54294999999,99081.91127000008,1333.5394444444444,2199.4505555555556,96.56966666666666,748.2261111111111,5.2229884857453195,2.0742561533047965,3.74630197217376,7142.735
P2,5,9000,64,7.185483663000923,1252.5252887766317,0.9392555555555555,24578.384878111112,9702.137999999999,82971.08499999996,126927.13028000003,1333.5635555555555,2199.4505555555556,96.56966666666666,742.4696666666666,5.4136926370456635,2.5004115950022388,4.516049513422411,7113.862444444444
P3,1,9000,64,5.759109281003475,1562.7416603617266,0.9912777777777778,27579.656483555555,21068.167,78874.04544999999,119134.62541000001,1334.172,2534.556777777778,109.295,868.5665555555555,6.702425343329184,3.8402929320370576,5.608506181075974,7275.131111111111
P3,2,9000,64,5.961347864002164,1509.725687096178,0.9912777777777778,26975.65477888889,20094.429,77261.24859999998,111396.96917000001,1334.1653333333334,2534.556777777778,109.295,870.7666666666667,6.743441402362928,3.7100110866233855,5.4266251086179285,7288.305
P3,3,9000,64,6.635422685998492,1356.356697364742,0.9912777777777778,21539.751455777776,10007.2725,67704.21370000001,104988.60753000005,1334.1763333333333,2534.556777777778,109.295,874.2885555555556,6.563259352248281,3.35070339682327,4.89795474048379,7308.621666666667
P3,4,9000,64,7.670399062997603,1173.3418204297166,0.9912777777777778,10485.772902666666,5584.3635,41212.84619999992,102047.92915000004,1334.1694444444445,2534.556777777778,109.295,872.9381111111111,6.1535259915869585,2.9051074331750573,4.217511987877925,7338.770555555556
P3,5,9000,64,7.368226243997924,1221.4608647951468,0.9912777777777778,15353.427188555555,6141.338,63171.18769999998,106597.95558000002,1334.184,2534.556777777778,109.295,875.5957777777778,6.304095241081617,3.019722693521335,4.397259113262528,7319.683777777778
