policy,config_id,config,query_count,recall_at_10,p5_per_query_recall,mean_shards_per_query,p95_shards_per_query,aggregate_distance_computations_per_query,p95_aggregate_distance_computations,max_shard_distance_computations_mean,p95_max_shard_distance_computations,p99_max_shard_distance_computations,aggregate_nodes_visited_per_query,p95_max_shard_nodes_visited,worker_cpu_time_us_per_query
P0,0b49a0aa365c7f1e,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.4367,0.0,1.0,1.0,557.546,873.05,557.546,873.05,1039.06,12.471,18.0,292.801
P0,c2fa85a3f0ab9945,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.4933,0.0,1.0,1.0,799.818,1220.2499999999998,799.818,1220.2499999999998,1498.01,18.611,25.0,351.262
P0,5c045e7c45e353d8,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.5511,0.0,1.0,1.0,1370.193,1971.2499999999998,1370.193,1971.2499999999998,2274.18,33.965,40.0,513.353
P0,21ab6f22997bc6b1,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.6005,0.0,1.0,1.0,2458.453,3496.25,2458.453,3496.25,3821.7799999999993,65.402,71.0,823.495
P0,417e843a3088d802,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.6391,0.1,1.0,1.0,4488.335,6473.2,4488.335,6473.2,6947.299999999999,129.111,134.0,1411.015
P0,c324b6c6b7211da0,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.6678999999999999,0.1,1.0,1.0,8171.63,11983.15,8171.63,11983.15,12688.5,256.667,260.0,2527.761
P0,b5b284e41d984446,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":512,""ef_min"":8,""ef_max"":512}",1000,0.6858,0.1,1.0,1.0,14743.563,22336.6,14743.563,22336.6,23332.17,512.444,514.0,4567.062
P0,0d52546b9c48598c,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.533,0.0,2.0,2.0,1103.448,1532.1499999999999,639.292,955.05,1178.5099999999995,25.758,22.0,556.225
P0,f8ff35239f22d22d,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.6043,0.0,2.0,2.0,1590.573,2269.05,914.033,1365.1499999999999,1641.1599999999999,38.307,29.049999999999955,680.304
P0,08f3182b3aa721f6,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.6754,0.1,2.0,2.0,2739.203,3863.5999999999995,1547.84,2233.2,2546.13,69.649,47.0,1014.99
P0,da67bf187de3789d,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.7337,0.2,2.0,2.0,4892.942,6864.65,2758.52,3778.1,4444.08,132.572,81.0,1637.845
P0,af38d3533799fe47,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.7812,0.3,2.0,2.0,8899.853,12548.65,5013.763,6742.349999999999,7205.889999999999,259.389,142.0,2816.844
P0,dcb39bd612eae981,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.8175,0.3,2.0,2.0,16279.84,23188.8,9242.384,12465.0,13130.27,514.413,267.0,5035.859
P0,0829f8f57ab849e7,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":512,""ef_min"":8,""ef_max"":512}",1000,0.8421000000000001,0.4,2.0,2.0,29618.378,42238.5,16930.271,22915.3,23709.03,1025.744,521.0,9165.895
P0,0d78a84c38598d90,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.5705,0.0,3.0,3.0,1662.262,2253.25,695.004,1007.0999999999999,1249.08,39.982,25.0,824.218
P0,9ded195fc9ecf68a,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.6445,0.1,3.0,3.0,2400.307,3289.45,990.759,1463.0,1716.03,59.1,34.0,1022.865
P0,c6de7039a08707d0,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.722,0.1,3.0,3.0,4141.256,5681.05,1673.792,2363.0,2667.5399999999995,106.95,53.0,1529.24
P0,68ad1afbe4eba899,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.7844,0.3,3.0,3.0,7362.736,10138.0,2952.467,4051.05,4591.09,201.476,88.0,2475.318
P0,85591d2ad956ddf2,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.8377,0.4,3.0,3.0,13402.042,18487.05,5367.34,7001.1,7557.299999999999,391.594,151.0,4261.203
P0,0f1cf690f7612a1e,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.8772000000000001,0.5,3.0,3.0,24598.472,34120.25,9898.624,12729.449999999999,13197.289999999999,773.36,272.0,7630.527
P0,4ce505dd83497fff,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":512,""ef_min"":8,""ef_max"":512}",1000,0.9053,0.6,3.0,3.0,44921.209,62557.75,18242.477,23287.15,23840.13,1539.768,523.05,13985.765
P0,99f64554f021592d,"{""policy"":""P0"",""fixed_p"":4,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.5928,0.1,4.0,4.0,2231.491,2913.0,742.208,1075.1,1267.01,55.359,28.0,1098.009
