policy,config_id,config,query_count,recall_at_10,p5_per_query_recall,mean_shards_per_query,p95_shards_per_query,aggregate_distance_computations_per_query,p95_aggregate_distance_computations,max_shard_distance_computations_mean,p95_max_shard_distance_computations,p99_max_shard_distance_computations,aggregate_nodes_visited_per_query,p95_max_shard_nodes_visited,worker_cpu_time_us_per_query
P0,0b49a0aa365c7f1e,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.4604,0.0,1.0,1.0,596.058,920.05,596.058,920.05,1093.1499999999999,12.48,18.0,307.859
P0,c2fa85a3f0ab9945,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.5107,0.0,1.0,1.0,836.533,1249.05,836.533,1249.05,1439.2999999999997,18.421,24.0,383.908
P0,5c045e7c45e353d8,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.5839,0.0,1.0,1.0,1446.405,2095.899999999999,1446.405,2095.899999999999,2602.29,34.269,42.0,554.257
P0,21ab6f22997bc6b1,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.6394,0.1,1.0,1.0,2569.354,3702.949999999999,2569.354,3702.949999999999,4313.05,65.727,73.0,880.901
P0,417e843a3088d802,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.6812,0.1,1.0,1.0,4663.843,6718.65,4663.843,6718.65,7268.25,129.005,133.0,1508.16
P0,c324b6c6b7211da0,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.7149,0.2,1.0,1.0,8534.263,12487.0,8534.263,12487.0,13161.01,256.615,259.0,2690.846
P0,b5b284e41d984446,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":512,""ef_min"":8,""ef_max"":512}",1000,0.7395,0.2,1.0,1.0,15557.591,23409.5,15557.591,23409.5,24537.01,512.696,515.0,4909.398
P0,0d52546b9c48598c,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.5611,0.0,2.0,2.0,1163.283,1633.1,680.511,1024.05,1195.03,26.027,22.0,588.224
P0,f8ff35239f22d22d,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.6187999999999999,0.1,2.0,2.0,1642.164,2295.25,951.725,1369.1,1570.2299999999998,38.248,30.0,735.93
P0,08f3182b3aa721f6,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.7017,0.1,2.0,2.0,2824.824,3998.1499999999996,1632.204,2331.05,2865.01,70.004,50.0,1069.442
P0,da67bf187de3789d,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.768,0.2,2.0,2.0,5013.111,7250.299999999999,2894.148,3979.05,4552.139999999999,133.258,84.0,1729.191
P0,af38d3533799fe47,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.8191,0.3,2.0,2.0,9123.303,13223.5,5289.997,6984.2,7734.29,260.331,148.0,2968.898
P0,dcb39bd612eae981,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.8623,0.5,2.0,2.0,16723.087,24537.549999999996,9751.844,12747.25,13293.31,514.877,270.0,5328.406
P0,0829f8f57ab849e7,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":512,""ef_min"":8,""ef_max"":512}",1000,0.8932,0.5950000000000003,2.0,2.0,30717.151,45899.7,18110.933,23872.0,24744.66,1026.281,523.0,9791.705
P0,0d78a84c38598d90,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.592,0.0,3.0,3.0,1722.967,2322.45,733.115,1067.0,1210.0,41.727,29.0,865.677
P0,9ded195fc9ecf68a,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.6541,0.1,3.0,3.0,2438.126,3231.05,1027.872,1441.4499999999996,1765.2299999999998,60.758,38.0,1085.286
P0,c6de7039a08707d0,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.7409,0.2,3.0,3.0,4180.491,5538.05,1753.256,2507.45,2966.5599999999995,109.474,58.0,1594.455
P0,68ad1afbe4eba899,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.8104,0.3,3.0,3.0,7387.384,9582.849999999999,3081.442,4139.749999999999,4722.0,205.086,96.0,2560.84
P0,85591d2ad956ddf2,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.8645,0.4,3.0,3.0,13373.729,17288.15,5593.288,7278.749999999999,7843.2,395.243,161.0,4396.211
P0,0f1cf690f7612a1e,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.9105,0.6,3.0,3.0,24512.335,31497.55,10319.613,12956.1,13414.55,775.878,278.0,7897.192
P0,4ce505dd83497fff,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":512,""ef_min"":8,""ef_max"":512}",1000,0.9438,0.7,3.0,3.0,45154.456,58235.25,19296.062,23919.55,24810.62,1542.035,529.0,14627.893
