policy,config_id,config,query_count,recall_at_10,p5_per_query_recall,mean_shards_per_query,p95_shards_per_query,aggregate_distance_computations_per_query,p95_aggregate_distance_computations,max_shard_distance_computations_mean,p95_max_shard_distance_computations,p99_max_shard_distance_computations,aggregate_nodes_visited_per_query,p95_max_shard_nodes_visited,worker_cpu_time_us_per_query
P0,0b49a0aa365c7f1e,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.5936,0.1,1.0,1.0,385.569,543.05,385.569,543.05,642.0899999999999,11.967,15.0,192.14
P0,c2fa85a3f0ab9945,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.642,0.2,1.0,1.0,510.202,689.05,510.202,689.05,786.0799999999999,17.54,21.0,220.66
P0,5c045e7c45e353d8,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.6919,0.2,1.0,1.0,826.809,1090.0,826.809,1090.0,1205.02,32.875,35.0,298.136
P0,21ab6f22997bc6b1,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.7133999999999999,0.2,1.0,1.0,1406.873,1870.05,1406.873,1870.05,1974.12,64.342,66.0,441.795
P0,417e843a3088d802,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.7191000000000001,0.2,1.0,1.0,2408.752,3222.1,2408.752,3222.1,3430.02,128.114,129.0,709.563
P0,c324b6c6b7211da0,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.7208,0.2,1.0,1.0,4057.924,5529.45,4057.924,5529.45,5866.24,256.05,256.04999999999995,1165.706
P0,b5b284e41d984446,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":512,""ef_min"":8,""ef_max"":512}",1000,0.7212000000000001,0.2,1.0,1.0,6662.4,9342.35,6662.4,9342.35,9933.35,512.069,513.0,1996.865
P0,0d52546b9c48598c,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.7469,0.3,2.0,2.0,735.359,985.0,411.017,575.05,655.02,24.216,18.0,342.883
P0,f8ff35239f22d22d,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.8016,0.4,2.0,2.0,986.848,1286.0,539.924,711.05,816.06,35.406,24.0,401.492
P0,08f3182b3aa721f6,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.8582000000000001,0.5,2.0,2.0,1618.395,2096.0,870.742,1124.2999999999997,1224.01,65.935,38.0,552.986
P0,da67bf187de3789d,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.8821,0.5,2.0,2.0,2774.317,3564.0,1478.711,1906.05,2020.1799999999998,128.861,67.0,836.401
P0,af38d3533799fe47,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.8883,0.5,2.0,2.0,4761.574,6220.0,2534.923,3290.1,3478.14,256.434,130.0,1355.282
P0,dcb39bd612eae981,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.8901,0.5,2.0,2.0,8012.577,10591.0,4284.175,5568.05,5922.98,512.326,257.0,2254.912
