policy,repetition,query_count,concurrency,wall_seconds,qps,client_cpu_utilization_pct,recall_at_10,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,response_bytes_per_query,response_distance_computations_per_query,response_nodes_visited_per_query,response_worker_cpu_time_us_per_query,controller_combined_cpu_utilization_pct,mean_worker_cpu_utilization_pct,max_worker_cpu_utilization_pct,cluster_network_bytes_per_query
P0,1,9000,128,6.249730021998403,1440.0622056186319,15.980056028174703,0.9311999999999999,62063.02079522222,45545.7025,171078.32189999998,240280.77312000003,1332.249111111111,1587.7634444444445,64.36344444444444,553.7153333333333,9.747087706548331,4.044619157756034,7.053638025669039,7132.010444444444
P0,2,9000,128,6.03885177000484,1490.349547028671,14.465925572789807,0.9311999999999999,10397.792477555555,5185.9725,36988.78429999998,76714.83385000001,1332.246,1587.7634444444445,64.36344444444444,548.8627777777778,9.34228373461491,4.181258451385993,7.286153341029057,7138.420777777777
P0,3,9000,128,8.259968270001991,1089.5925632893297,14.46300778434724,0.9311999999999999,14270.748907888888,6961.867,52159.959699999956,98512.70453000006,1332.2424444444443,1587.7634444444445,64.36344444444444,561.0544444444445,8.747006966406008,3.100630689360377,5.397518716294365,7135.4182222222225
P0,4,9000,128,6.10285678999935,1474.7191863895855,15.694734713332531,0.9311999999999999,52478.292240111114,34954.1905,160011.67645,236056.31097,1332.2414444444444,1587.7634444444445,64.36344444444444,550.141,9.681258362502001,4.13740660625967,7.196083437289922,7134.339666666667
P0,5,9000,128,6.248382254001626,1440.3728251798561,15.151881967427292,0.9311999999999999,33169.299654222224,12363.973,126314.44119999987,195989.27489000006,1332.245111111111,1587.7634444444445,64.36344444444444,548.2164444444444,9.52246478868905,4.032154791475708,7.041822700879297,7133.185666666666
P1,1,9000,64,6.720085305001703,1339.268713345257,15.211966823756562,0.9486444444444444,37611.83724144444,30788.097,97503.16484999991,133841.41787,1332.131111111111,1381.1913333333334,50.70366666666666,528.7925555555555,11.272178337322579,4.265818864729337,5.481081215727811,7283.073777777778
P1,2,9000,64,6.5595902999994,1372.0369090735473,15.207076856234316,0.9486444444444444,36819.22741277778,29958.112999999998,95348.82734999996,131660.52368,1332.1264444444444,1381.1913333333334,50.70366666666666,526.8888888888889,11.357416636219922,4.357487590853951,5.602484045383652,7280.417
P1,3,9000,64,6.469975024003361,1391.0409184904645,14.580930388063127,0.9486444444444444,13179.989879888888,5251.6085,57278.67144999998,101269.49199000026,1332.1283333333333,1381.1913333333334,50.70366666666666,523.1625555555555,10.935127220355596,4.413549580889498,5.680083750502729,7318.904777777778
P2,1,9000,64,7.715609039994888,1166.4665684001484,14.34450171740081,0.9392555555555555,7108.703489555556,5431.6455,13957.849649999996,35639.59607000003,1333.5012222222222,2199.4505555555556,96.56966666666666,726.8047777777778,8.672894948382583,3.823418196422708,6.869192013911984,7146.186111111111
P2,2,9000,64,5.977913115006231,1505.542122619261,14.662550621967098,0.9392555555555555,17429.861570444446,4746.1965,78152.875,128154.30868000005,1333.5072222222223,2199.4505555555556,96.56966666666666,719.0068888888889,9.855724821220532,4.8651314888344634,8.76838884377329,7073.354555555556
P2,3,9000,64,6.476881948998198,1389.5575171617975,15.156387756948957,0.9392555555555555,34185.813153222225,27216.5975,94784.04334999999,128199.37200000003,1333.5078888888888,2199.4505555555556,96.56966666666666,722.1321111111112,9.85556535320312,4.507484415237806,8.131484730057926,7091.738777777778
P2,4,9000,64,6.892473640000389,1305.7721320497485,15.175310057477999,0.9392555555555555,36265.600100111114,29171.557500000003,99467.41809999988,134116.32594000007,1333.5034444444445,2199.4505555555556,96.56966666666666,727.0836666666667,9.491028922769006,4.259880072767236,7.665366034440191,7094.5
P2,5,9000,64,6.4488393619976705,1395.5999668771485,15.02871919032845,0.9392555555555555,30135.202798,19756.574999999997,91948.30159999999,130216.28929000002,1333.5042222222223,2199.4505555555556,96.56966666666666,721.3057777777777,9.769199768140039,4.522777670435203,8.166844250614425,7086.681111111111
P3,1,9000,64,6.179441348002001,1456.4423372850638,14.406120324903359,0.9912777777777778,6282.633671,4595.7125,11148.008699999991,37083.45327000034,1334.043,2534.556777777778,109.295,842.3517777777778,11.085144456002986,5.843750118736367,8.509399211359957,7287.983222222222
P3,2,9000,64,6.9406180220030365,1296.7144959524273,14.96251517275256,0.9912777777777778,33828.91526766666,27284.7195,90853.51674999998,123898.01145000006,1334.08,2534.556777777778,109.295,855.6278888888888,11.214179066847842,5.246891062326025,7.624200971572141,7305.799555555555
P3,3,9000,64,6.084150493996276,1479.2533499756505,14.799271124843257,0.9912777777777778,23455.673036222222,9996.864000000001,78558.01955,115376.38822,1334.066,2534.556777777778,109.295,850.9276666666667,11.628574945641917,5.944406980457707,8.642674665135514,7276.793111111111
P3,4,9000,64,6.438191743000061,1397.9080399065888,14.473832456732255,0.9912777777777778,9838.237251111112,5187.768,38307.19479999992,82833.13319000007,1334.0632222222223,2534.556777777778,109.295,846.0596666666667,11.222095098139006,5.639092000487381,8.20623793797016,7309.855111111111
P3,5,9000,64,6.852034164003271,1313.478564844427,15.344030717160571,0.9912777777777778,43412.83167177778,38033.507,103989.15859999995,135735.0414800001,1334.1136666666666,2534.556777777778,109.295,862.5997777777778,11.72401237509285,5.314723452194579,7.7470911648694445,7293.934
