dataset,logical_shards,run_id,fallback_used,p0_work,p3_work,p6_work,p3_minus_p6,p3_over_p6,oracle_headroom_relative_to_p0
glove-200-angular,4,glove-m4-measurement,False,24512.03888888889,14276.54388888889,7790.089222222222,6486.454666666667,1.8326547336792023,0.26462322029061913
glove-200-angular,8,glove-m8-measurement-fallback-p2-rank2,True,32889.327666666664,16515.857333333333,8039.753222222223,8476.104111111112,2.054274164495845,0.25771594351263205
glove-200-angular,16,glove-m16-measurement,False,40181.46188888889,20798.209777777778,7765.120888888889,13033.08888888889,2.678414164490077,0.3243557669685692
glove-200-angular,32,glove-m32-measurement-fallback-p3-rank1,True,52784.811555555556,24175.530555555557,8054.484111111111,16121.046444444446,3.0014995649697243,0.3054107037490734
sift1m,4,sift1m-m4-measurement,False,1587.7634444444445,2534.556777777778,877.4982222222222,1657.0585555555556,2.8883896440942456,1.0436432211319473
sift1m,8,sift1m-m8-measurement,False,1707.0432222222223,2734.318,885.4925555555556,1848.8254444444447,3.087906253807517,1.0830571952581556
sift1m,16,sift1m-m16-measurement,False,2487.6475555555558,3028.9535555555553,920.6253333333333,2108.328222222222,3.290104503846902,0.8475188607460826
sift1m,32,sift1m-m32-measurement,False,2338.3954444444444,3458.9093333333335,1003.169,2455.7403333333336,3.4479826762323533,1.0501817984497348
