dataset,logical_shards,run_id,fallback_used,policy,recall_at_10,recall_gate_valid,mean_shards_per_query,aggregate_distance_computations,p95_max_shard_work,relative_work_vs_p0
glove-200-angular,4,glove-m4-measurement,False,P0,0.9099777777777778,True,3.0,24512.03888888889,12909.0,1.0
glove-200-angular,4,glove-m4-measurement,False,P1,0.9159777777777777,True,2.9133333333333336,23739.638222222224,12884.05,0.9684889261897839
glove-200-angular,4,glove-m4-measurement,False,P2,0.9022555555555556,True,4.0,14676.443111111112,15165.64999999999,0.5987442814381233
glove-200-angular,4,glove-m4-measurement,False,P3,0.9011333333333333,True,2.9133333333333336,14276.54388888889,15318.149999999998,0.582429880827267
glove-200-angular,4,glove-m4-measurement,False,P4,0.9349444444444445,True,1.962888888888889,29911.107666666667,23803.05,1.220261921182947
glove-200-angular,4,glove-m4-measurement,False,P5,0.9000555555555556,True,3.0,8513.22311111111,22959.249999999996,0.3473078330897266
glove-200-angular,4,glove-m4-measurement,False,P6,0.902411111111111,True,1.8797777777777778,7790.089222222222,22922.1,0.31780666053664786
glove-200-angular,8,glove-m8-measurement-fallback-p2-rank2,True,P0,0.9116444444444444,True,4.0,32889.327666666664,12867.0,1.0
glove-200-angular,8,glove-m8-measurement-fallback-p2-rank2,True,P1,0.931188888888889,True,4.5215555555555556,37975.05811111111,13032.0,1.1546316329718966
glove-200-angular,8,glove-m8-measurement-fallback-p2-rank2,True,P2,0.9013444444444445,True,6.0,17943.308333333334,13611.0,0.5455662856714119
glove-200-angular,8,glove-m8-measurement-fallback-p2-rank2,True,P3,0.900411111111111,True,4.5215555555555556,16515.857333333333,13611.0,0.5021646383508215
glove-200-angular,8,glove-m8-measurement-fallback-p2-rank2,True,P4,0.9414333333333333,True,2.67,41077.686888888886,23337.0,1.2489670602333756
glove-200-angular,8,glove-m8-measurement-fallback-p2-rank2,True,P5,0.8959111111111111,False,4.0,8799.813777777777,21686.149999999998,0.2675583358517964
glove-200-angular,8,glove-m8-measurement-fallback-p2-rank2,True,P6,0.9096222222222222,True,2.6084444444444443,8039.753222222223,21586.149999999998,0.2444486948381895
glove-200-angular,16,glove-m16-measurement,False,P0,0.9089888888888888,True,5.0,40181.46188888889,12645.05,1.0
glove-200-angular,16,glove-m16-measurement,False,P1,0.9377777777777778,True,6.218111111111111,51699.066333333336,12717.0,1.2866397563207956
glove-200-angular,16,glove-m16-measurement,False,P2,0.9005333333333334,True,11.0,22110.47088888889,12772.249999999996,0.5502654669466606
glove-200-angular,16,glove-m16-measurement,False,P3,0.905788888888889,True,6.218111111111111,20798.209777777778,13249.05,0.5176070954135437
glove-200-angular,16,glove-m16-measurement,False,P4,0.9484111111111112,True,3.421666666666667,49240.88255555555,22450.0,1.22546269450619
glove-200-angular,16,glove-m16-measurement,False,P5,0.8896555555555556,False,5.0,8502.988555555556,18576.299999999996,0.21161471374705834
glove-200-angular,16,glove-m16-measurement,False,P6,0.9173666666666666,True,3.5014444444444446,7765.120888888889,17544.0,0.19325132844497442
glove-200-angular,32,glove-m32-measurement-fallback-p3-rank1,True,P0,0.9053666666666667,True,7.0,52784.811555555556,11462.0,1.0
glove-200-angular,32,glove-m32-measurement-fallback-p3-rank1,True,P1,0.9016444444444445,True,8.064666666666668,35870.612,6605.0,0.679563134600689
glove-200-angular,32,glove-m32-measurement-fallback-p3-rank1,True,P2,0.9000555555555556,True,10.0,25019.903666666665,15906.099999999984,0.47399816214809126
glove-200-angular,32,glove-m32-measurement-fallback-p3-rank1,True,P3,0.9060888888888889,True,8.064666666666668,24175.530555555557,15906.099999999984,0.4580016456080557
glove-200-angular,32,glove-m32-measurement-fallback-p3-rank1,True,P4,0.9452777777777778,True,5.5088888888888885,69970.34311111111,19316.05,1.3255772077061967
glove-200-angular,32,glove-m32-measurement-fallback-p3-rank1,True,P5,0.8811222222222223,False,7.0,8566.098444444444,13705.299999999996,0.1622833953935537
glove-200-angular,32,glove-m32-measurement-fallback-p3-rank1,True,P6,0.9166111111111112,True,5.531777777777778,8054.484111111111,12989.0,0.15259094185898223
sift1m,4,sift1m-m4-measurement,False,P0,0.9311999999999999,True,1.0,1587.7634444444445,2185.0,1.0
sift1m,4,sift1m-m4-measurement,False,P1,0.9486333333333334,True,1.5358888888888889,1381.1913333333334,1269.0499999999993,0.8698974259459725
sift1m,4,sift1m-m4-measurement,False,P2,0.9392555555555555,True,1.0,2199.4505555555556,3236.0,1.3852507835795018
sift1m,4,sift1m-m4-measurement,False,P3,0.9913444444444445,True,1.5358888888888889,2534.556777777778,3236.0,1.596306292757996
sift1m,4,sift1m-m4-measurement,False,P4,0.9927444444444445,True,1.1387777777777779,9395.079555555556,12012.05,5.917178398601359
sift1m,4,sift1m-m4-measurement,False,P5,0.9059,True,1.0,882.2953333333334,2206.0499999999993,0.5556843725181284
sift1m,4,sift1m-m4-measurement,False,P6,0.945688888888889,True,1.1634444444444445,877.4982222222222,2042.0,0.552663071626049
sift1m,8,sift1m-m8-measurement,False,P0,0.9358888888888889,True,2.0,1707.0432222222223,1225.0,1.0
sift1m,8,sift1m-m8-measurement,False,P1,0.9568666666666665,True,2.433777777777778,2092.4835555555555,1228.0499999999993,1.2257941265433037
sift1m,8,sift1m-m8-measurement,False,P2,0.9700111111111112,True,2.0,2549.101222222222,2926.0499999999993,1.493284522054346
sift1m,8,sift1m-m8-measurement,False,P3,0.9901666666666666,True,2.433777777777778,2734.318,2926.0499999999993,1.601786038223728
sift1m,8,sift1m-m8-measurement,False,P4,0.9836222222222223,True,1.3417777777777777,10428.031222222222,11200.099999999999,6.108826704837064
sift1m,8,sift1m-m8-measurement,False,P5,0.9335444444444444,True,2.0,1149.175,1955.0,0.6731961938866483
sift1m,8,sift1m-m8-measurement,False,P6,0.9411555555555555,True,1.4056666666666666,885.4925555555556,1863.0499999999993,0.5187288429655722
sift1m,16,sift1m-m16-measurement,False,P0,0.9495333333333332,True,3.0,2487.6475555555558,1214.0,1.0
sift1m,16,sift1m-m16-measurement,False,P1,0.9650777777777778,True,3.884333333333333,3195.5223333333333,1172.0499999999993,1.2845558954671499
sift1m,16,sift1m-m16-measurement,False,P2,0.9323666666666666,True,2.0,2279.179777777778,2485.0499999999993,0.9161988291660466
sift1m,16,sift1m-m16-measurement,False,P3,0.9876222222222223,True,3.884333333333333,3028.9535555555553,2485.0499999999993,1.2175975446325282
sift1m,16,sift1m-m16-measurement,False,P4,0.9724777777777777,True,1.6483333333333334,11790.165333333332,10206.05,4.739483817554004
sift1m,16,sift1m-m16-measurement,False,P5,0.9377444444444445,True,3.0,1404.392,1725.0,0.5645462102795198
sift1m,16,sift1m-m16-measurement,False,P6,0.9359888888888889,True,1.7453333333333334,920.6253333333333,1619.0499999999993,0.37007868388644544
sift1m,32,sift1m-m32-measurement,False,P0,0.9235555555555556,True,3.0,2338.3954444444444,1131.0,1.0
sift1m,32,sift1m-m32-measurement,False,P1,0.9168333333333333,True,5.994777777777778,2757.2542222222223,729.0,1.179122303189951
sift1m,32,sift1m-m32-measurement,False,P2,0.9391111111111111,True,3.0,2448.3035555555557,2200.0499999999993,1.047001507538954
sift1m,32,sift1m-m32-measurement,False,P3,0.9844555555555556,True,5.994777777777778,3458.9093333333335,2200.0499999999993,1.479180667047143
sift1m,32,sift1m-m32-measurement,False,P4,0.9637888888888889,True,2.074666666666667,13377.673888888889,9177.0,5.720877501994601
sift1m,32,sift1m-m32-measurement,False,P5,0.9141222222222223,True,3.0,1324.8848888888888,1616.0999999999985,0.5665786306745285
sift1m,32,sift1m-m32-measurement,False,P6,0.9321999999999999,True,2.1973333333333334,1003.169,1425.0499999999993,0.42899886859740816
