policy,config_id,config,query_count,recall_at_10,p5_per_query_recall,mean_shards_per_query,p95_shards_per_query,aggregate_distance_computations_per_query,p95_aggregate_distance_computations,max_shard_distance_computations_mean,p95_max_shard_distance_computations,p99_max_shard_distance_computations,aggregate_nodes_visited_per_query,p95_max_shard_nodes_visited,worker_cpu_time_us_per_query
P0,0b49a0aa365c7f1e,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.43960000000000005,0.0,1.0,1.0,531.214,836.2499999999998,531.214,836.2499999999998,1027.03,12.41,17.049999999999955,240.412
P0,c2fa85a3f0ab9945,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.48710000000000003,0.0,1.0,1.0,742.878,1118.05,742.878,1118.05,1334.01,18.394,24.0,301.704
P0,5c045e7c45e353d8,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.541,0.0,1.0,1.0,1262.504,1875.1499999999999,1262.504,1875.1499999999999,2236.13,33.92,40.0,454.337
P0,21ab6f22997bc6b1,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.5836,0.0,1.0,1.0,2211.718,3323.5999999999995,2211.718,3323.5999999999995,3619.06,65.128,70.0,741.57
P0,417e843a3088d802,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.6117,0.0,1.0,1.0,3932.368,5948.05,3932.368,5948.05,6418.07,128.641,131.0,1263.72
P0,c324b6c6b7211da0,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.6299,0.1,1.0,1.0,6901.079,10501.4,6901.079,10501.4,11259.01,256.364,258.0,2203.774
P0,b5b284e41d984446,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":512,""ef_min"":8,""ef_max"":512}",1000,0.6416000000000001,0.1,1.0,1.0,11742.351,17789.15,11742.351,17789.15,18914.769999999997,512.231,513.0,3837.884
P0,0d52546b9c48598c,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.5378,0.0,2.0,2.0,1060.2,1501.1499999999999,613.348,926.05,1089.1799999999998,25.372,20.0,463.583
P0,f8ff35239f22d22d,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.5943999999999999,0.0,2.0,2.0,1495.09,2106.05,852.67,1284.3499999999997,1481.1899999999998,37.578,28.0,588.81
P0,08f3182b3aa721f6,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.6613,0.1,2.0,2.0,2559.333,3567.1,1451.376,2057.4999999999995,2437.1,68.963,45.0,895.248
