policy,repetition,query_count,concurrency,wall_seconds,qps,client_cpu_utilization_pct,recall_at_10,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,response_bytes_per_query,response_distance_computations_per_query,response_nodes_visited_per_query,response_worker_cpu_time_us_per_query,controller_combined_cpu_utilization_pct,mean_worker_cpu_utilization_pct,max_worker_cpu_utilization_pct,cluster_network_bytes_per_query
P0,1,9000,128,7.082736049000232,1270.6953834980764,15.967062972573057,0.9311999999999999,64910.243996,45363.5895,191726.88529999994,276800.1498000001,1332.2468888888889,1587.7634444444445,64.36344444444444,559.5604444444444,9.589043866212336,3.584615989250746,6.247585635532208,7141.960555555555
P0,2,9000,128,6.288280953995127,1431.2337609982328,15.96422755033248,0.9311999999999999,61683.23096211111,45866.1365,171091.87425,242679.98330000066,1332.2457777777777,1587.7634444444445,64.36344444444444,550.2841111111111,9.819853860182318,4.010988441316035,6.983890667093228,7133.958666666666
P0,3,9000,128,6.771760816998722,1329.048713210288,14.62676374568099,0.9311999999999999,21827.761456222222,8547.1735,83350.46994999994,129005.53249000001,1332.246111111111,1587.7634444444445,64.36344444444444,551.3961111111112,9.007996833980842,3.7328220031523522,6.509877493409651,7127.590666666667
P1,1,9000,64,6.46505345600599,1392.0998582987836,15.112849652346243,0.9486444444444444,35896.56260233333,29470.788999999997,93507.79999999997,127332.85695000006,1332.1395555555555,1381.1913333333334,50.70366666666666,529.3937777777778,11.523493271473265,4.42979924045076,5.6972975682228,7281.330888888889
P1,2,9000,64,5.233465612996952,1719.7017551140718,14.932273409502479,0.9486444444444444,35083.83572233333,30545.565000000002,78589.33689999995,113875.21884000005,1332.1262222222222,1381.1913333333334,50.70366666666666,519.6713333333333,12.13345127219373,5.366106402531873,6.894730184855493,7266.393555555555
P1,3,9000,64,9.112747296996531,987.6275185383785,14.44904919819266,0.9486444444444444,13078.796053444445,6357.664500000001,57982.51954999995,101994.27538000014,1332.1735555555556,1381.1913333333334,50.70366666666666,547.8703333333333,9.99515627557822,3.1884518036763705,4.096825262085126,7330.113444444444
P1,4,9000,64,5.418798806000268,1660.8846945995201,14.51024883050364,0.9486444444444444,14416.401237666667,5129.285,53342.86409999998,92083.38845000007,1332.1202222222223,1381.1913333333334,50.70366666666666,516.9694444444444,11.703085672131804,5.21845870093306,6.689674464359178,7255.556888888889
P1,5,9000,64,7.226635014994827,1245.3929085010589,14.712126867054204,0.9486444444444444,22622.151372333334,7965.093,80455.68074999994,118692.58452,1332.1371111111112,1381.1913333333334,50.70366666666666,531.8253333333333,10.562776890620091,3.974494652438565,5.119948623837687,7311.590444444444
P2,1,9000,64,6.846514229000604,1314.5375440655066,15.20052428419349,0.9392555555555555,37918.40377988889,31448.388,99272.83869999998,139689.7936200001,1333.4997777777778,2199.4505555555556,96.56966666666666,724.646,9.652113633740248,4.280361447497252,7.692478961568521,7100.663777777778
P2,2,9000,64,7.7521213489962975,1160.9725383317525,14.769864927336888,0.9392555555555555,24289.59960222222,8212.5255,87461.11214999999,130852.97160000002,1333.495,2199.4505555555556,96.56966666666666,733.3164444444444,9.320029543829902,3.805409986754077,6.826088535561692,7116.012333333333
P2,3,9000,64,6.3045725880001555,1427.535312565074,15.09264558331984,0.9392555555555555,34469.814011222225,28339.6645,91209.36719999989,126087.60652000002,1333.5064444444445,2199.4505555555556,96.56966666666666,724.3995555555556,9.900221751030005,4.630677819462632,8.35372516241784,7087.258555555555
P2,4,9000,64,6.975091756001348,1290.3056066977797,14.484106166141231,0.9392555555555555,11556.237065555555,5452.382,49108.510349999946,97063.72400000003,1333.5142222222223,2199.4505555555556,96.56966666666666,723.7318888888889,9.115770165837091,4.217387770039965,7.5865190764175,7107.881555555556
P2,5,9000,64,8.005738018000557,1124.1936695609934,14.36869917912071,0.9392555555555555,7916.705615333333,5662.1255,20496.879899999956,52484.800440000006,1333.4876666666667,2199.4505555555556,96.56966666666666,723.1203333333333,8.608408932656866,3.6709780938133676,6.5994332083487945,7137.252888888889
P3,1,9000,64,4.566838988001109,1970.728555056694,14.67291892456871,0.9912777777777778,29972.866759333334,26098.4745,64196.84939999999,93493.99005000007,1334.0636666666667,2534.556777777778,109.295,841.6711111111111,12.809735607868511,7.816006769283493,11.40467913805957,7261.587777777778
P3,2,9000,64,5.699337486999866,1579.1309113609982,14.347923916424485,0.9912777777777778,6798.785296444445,4301.6965,12659.602649999992,99117.87005000058,1334.0504444444443,2534.556777777778,109.295,842.8966666666666,11.492563854905043,6.321397506281527,9.196975400426554,7254.878333333333
P3,3,9000,64,5.808620568001061,1549.4212256830538,14.66923493753408,0.9912777777777778,22780.884302,9496.5295,76338.5204499999,110058.63227,1334.0654444444444,2534.556777777778,109.295,847.6676666666667,11.921935542061275,6.202467067009015,9.038290483151147,7269.3223333333335
P3,4,9000,64,6.254544559000351,1438.9536944059198,14.70499238112387,0.9912777777777778,20004.648893222224,5614.6900000000005,80225.48619999998,121141.61068000001,1334.0572222222222,2534.556777777778,109.295,846.6526666666666,11.431687683335918,5.7869032833670175,8.407220196019773,7269.997888888889
P3,5,9000,64,6.2362925249981345,1443.1651440216385,14.869856487774001,0.9912777777777778,27447.86659211111,18480.735500000003,85127.90809999999,119888.41343,1334.0656666666666,2534.556777777778,109.295,849.6695555555556,11.745760755509444,5.803840069938873,8.431825980348647,7294.901444444445
