policy,repetition,query_count,concurrency,wall_seconds,qps,client_cpu_utilization_pct,recall_at_10,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,response_bytes_per_query,response_distance_computations_per_query,response_nodes_visited_per_query,response_worker_cpu_time_us_per_query,controller_combined_cpu_utilization_pct,mean_worker_cpu_utilization_pct,max_worker_cpu_utilization_pct,cluster_network_bytes_per_query
P0,1,18000,64,14.506902755005285,1240.7886303497485,14.94276269448399,0.9311999999999999,28829.270532111113,15060.708999999999,90411.37834999998,128421.34770999984,1332.2455,1587.7634444444445,64.36344444444444,553.9618888888889,9.139327365215046,3.5098233941837793,6.123521666448295,7114.988333333334
P0,2,18000,64,15.869771784993645,1134.2318115135522,14.725099581045649,0.9311999999999999,23739.79021727778,8072.6810000000005,85580.60865,127681.24859999988,1332.2467222222222,1587.7634444444445,64.36344444444444,555.5245555555556,8.72728366081261,3.2189078724898494,5.608146179150341,7124.194944444444
P0,3,18000,64,15.656702749998658,1149.667352533824,14.84660852442382,0.9311999999999999,28894.132061166667,14373.0125,91531.53524999999,133692.3310699998,1332.2476666666666,1587.7634444444445,64.36344444444444,556.5371666666666,8.915244516176644,3.268035900258185,5.689788888234528,7119.364611111111
P1,1,18000,64,14.56529440000304,1235.8143615687056,14.806621810366911,0.9486444444444444,26650.919970333336,11270.753499999999,86835.13239999999,127228.86032999965,1332.1372777777779,1381.1913333333334,50.70366666666666,531.7765555555555,10.676062956885206,3.95346168446285,5.09201287868587,7301.929444444444
P1,2,18000,64,15.261463433002064,1179.44128222173,14.521658247121655,0.9486444444444444,13104.615403388889,5695.3705,58869.36484999999,100462.26846999997,1332.1358333333333,1381.1913333333334,50.70366666666666,530.6552222222223,10.32557159574672,3.7822206550258564,4.8597349128580545,7328.343111111111
P1,3,18000,64,14.48678498499794,1242.5117110967158,14.908812540095193,0.9486444444444444,31797.266776000004,23446.319499999998,90509.55715000001,131750.03648999982,1332.1406111111112,1381.1913333333334,50.70366666666666,534.6846111111112,10.90073931726054,3.9652997199814943,5.102351332142532,7299.624
P2,1,18000,256,12.371064730999933,1455.0081493709142,14.51423455998574,0.9392555555555555,19733.62439861111,8116.252,68890.26359999999,107023.52814999994,1333.5086111111111,2199.4505555555556,96.56966666666666,720.3045555555556,9.524914459307745,4.715304187776111,8.480811389157319,7132.214944444445
P2,2,18000,256,12.61183863900078,1427.230439211052,14.91340109647976,0.9392555555555555,33492.605484555555,18897.7845,112586.3439499999,182404.54184999975,1333.5049444444444,2199.4505555555556,96.56966666666666,719.7403888888889,9.488439401421624,4.625283830776557,8.318903347068122,7132.269777777778
P2,3,18000,256,10.770119427004829,1671.2906594951103,15.544375911721705,0.9392555555555555,54358.766811333335,35341.988,173326.8129,256857.36806999997,1333.5194444444444,2199.4505555555556,96.56966666666666,717.2383888888888,10.136068351567568,5.3775324460606555,9.702770773179946,7135.417833333333
P2,4,18000,256,13.517196708002302,1331.6370538089334,14.430604206530617,0.9392555555555555,19061.097135555556,7727.7305,69358.37444999997,112213.23288999991,1333.5049444444444,2199.4505555555556,96.56966666666666,723.7933333333333,9.148839758576191,4.338095402146078,7.804872732046804,7135.9556111111115
P2,5,18000,256,13.079612048000854,1376.187606630978,14.652319458839917,0.9392555555555555,25130.05194522222,9054.458999999999,89989.6209,143550.13456999927,1333.5033333333333,2199.4505555555556,96.56966666666666,722.8427222222223,9.333865017196217,4.457743497404974,8.008647321921941,7136.948722222222
P3,1,18000,64,14.753013538997038,1220.089709293638,14.787019963639983,0.9912777777777778,26692.645250444446,9767.7525,88149.74404999995,126207.85514999965,1334.0898333333334,2534.556777777778,109.295,856.08,10.839593296918942,4.936844471864071,7.168027042100122,7315.949777777778
P3,2,18000,64,17.91822174200206,1004.5639717587735,14.767349650955655,0.9912777777777778,25423.576177944444,7894.895,96476.18444999997,138151.0096199999,1334.167611111111,2534.556777777778,109.295,877.8522222222222,10.450255761768352,4.095768539176975,5.939019407110897,7328.400722222223
P3,3,18000,64,14.95544649400108,1203.5748987648178,14.796956735044015,0.9912777777777778,26180.680896444443,9871.1045,87585.48784999998,126992.18029999964,1334.0915555555555,2534.556777777778,109.295,857.7467777777778,10.848890406921761,4.871878023858206,7.065430424230505,7317.430388888889
P3,4,18000,64,15.490837429002568,1161.977206364562,14.490738656241493,0.9912777777777778,15707.75517911111,6336.7965,67000.7065,105422.30104999978,1334.088611111111,2534.556777777778,109.295,857.5214444444445,10.490072001902297,4.714256289401905,6.842754659702422,7330.803888888889
P3,5,18000,64,17.358899179002037,1036.9321127098578,14.40677641313298,0.9912777777777778,11067.182595444445,6174.6314999999995,43567.811999999976,94394.28931999955,1334.1373333333333,2534.556777777778,109.295,871.3665555555556,10.239704613009847,4.232539256354282,6.13518166686666,7339.174444444445
