policy,config_id,config,query_count,recall_at_10,p5_per_query_recall,mean_shards_per_query,p95_shards_per_query,aggregate_distance_computations_per_query,p95_aggregate_distance_computations,max_shard_distance_computations_mean,p95_max_shard_distance_computations,p99_max_shard_distance_computations,aggregate_nodes_visited_per_query,p95_max_shard_nodes_visited,worker_cpu_time_us_per_query
P0,0b49a0aa365c7f1e,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.6375,0.2,1.0,1.0,410.791,579.0999999999999,410.791,579.0999999999999,679.0,12.043,16.0,206.332
P0,c2fa85a3f0ab9945,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.6967000000000001,0.2,1.0,1.0,546.481,744.0,546.481,744.0,854.1499999999999,17.68,21.0,238.622
P0,5c045e7c45e353d8,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.7539,0.3,1.0,1.0,882.188,1159.2499999999998,882.188,1159.2499999999998,1291.01,32.934,36.0,317.002
P0,21ab6f22997bc6b1,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.7847999999999999,0.3,1.0,1.0,1502.849,1981.2999999999997,1502.849,1981.2999999999997,2142.02,64.366,66.0,470.439
P0,417e843a3088d802,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.7925,0.3,1.0,1.0,2595.599,3461.25,2595.599,3461.25,3674.0299999999997,128.12,129.0,753.05
P0,c324b6c6b7211da0,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.795,0.3,1.0,1.0,4444.108,6042.949999999999,4444.108,6042.949999999999,6396.0,256.073,257.0,1257.728
P0,b5b284e41d984446,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":512,""ef_min"":8,""ef_max"":512}",1000,0.7953,0.3,1.0,1.0,7433.838,10356.2,7433.838,10356.2,11014.009999999998,512.084,513.0,2182.893
P0,0d52546b9c48598c,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.7656000000000001,0.4,2.0,2.0,784.159,1050.2499999999998,442.01,610.05,693.1499999999999,24.862,20.0,361.189
P0,f8ff35239f22d22d,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.8331000000000001,0.5,2.0,2.0,1056.242,1369.1,582.577,766.2999999999997,891.0,36.139,26.0,423.348
P0,08f3182b3aa721f6,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.8985,0.6,2.0,2.0,1732.651,2186.2,936.92,1196.1999999999998,1346.03,66.624,41.0,579.987
P0,da67bf187de3789d,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.93,0.7,2.0,2.0,2977.923,3801.25,1599.104,2040.3499999999997,2193.08,129.362,72.0,881.801
P0,af38d3533799fe47,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.9379,0.7,2.0,2.0,5154.508,6651.05,2766.137,3515.05,3730.02,256.896,135.0,1440.362
