nprobe,hnsw_ef,query_count,top_k,recall_at_k,qps,wall_s,avg_selected_shards
1,32,10000,10,0.49182,3101.889878281373,3.223841075086966,1.0
2,32,10000,10,0.61103,2728.5403873351697,3.6649631599429995,2.0
4,32,10000,10,0.69466,2202.3294116902844,4.540646801935509,4.0
8,32,10000,10,0.74925,1347.9191513927797,7.41884258389473,8.0
16,32,10000,10,0.78458,942.9697782866995,10.604793738108128,16.0
32,32,10000,10,0.80353,549.4484908934785,18.200068187899888,32.0
44,32,10000,10,0.8084,476.0439049007989,21.00646578404121,44.0
