stage,dataset,method,physical_machine_count,logical_shard_count,baseline_label,total_segments,estimated_empty_appendable_segments,estimated_nonempty_hnsw_segments,estimated_hnsw_segments_per_shard,max_segment_size_kb,source,source_sha256,stage15_gate_status
stage15,sift1m,kmeans,2,2,,4,2,2,1.0,2000000,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/logs/c1s15_sift1m_kmeans_m2-prepare.json,539a1642f2dcc2c3060cd8d8b899ec477068b7e0a2695c05a0bbd7953ef857c2,PASS
stage15,sift1m,kmeans,3,3,,6,3,3,1.0,2000000,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/logs/c1s15_sift1m_kmeans_m3-prepare.json,aa9e25135278b61a830d3cf3bec8f5ef27b80544f1c3ee1abbd981785948647f,PASS
stage15,sift1m,kmeans,4,4,,8,4,4,1.0,2000000,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/logs/c1s15_sift1m_kmeans_m4-prepare.json,58b64385f30cde33922bf9625abf7ee6afea349bc48b36b7e6cd02e1bf76cd37,PASS
stage15,glove-200-angular,common,1,1,A,2,1,1,1.0,2000000,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/logs/c1s15_glove_common_m1_baseline-a-prepare.json,8d1997610ae01cca265ace5bdc1701fa1a4372c2bb7726c088643b260358ff19,PASS
stage15,glove-200-angular,common,1,1,B,2,1,1,1.0,2000000,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/logs/c1s15_glove_common_m1_baseline-b-prepare.json,47748c53b7fd52aeebee1b5bef2d9843804b00082a3b4d61376cdd778d666f6e,PASS
stage15,glove-200-angular,random,2,2,,4,2,2,1.0,2000000,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/logs/c1s15_glove_random_m2-prepare.json,c9c969ebe93487c7be09287c675a1012bce71e411f32277ec53add681cdfa346,PASS
stage15,glove-200-angular,random,3,3,,6,3,3,1.0,2000000,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/logs/c1s15_glove_random_m3-prepare.json,7f202affcb267f04c23a79b0fb21dba7319619ac106ee985f3c8f76b68e26a7e,PASS
stage15,glove-200-angular,random,4,4,,8,4,4,1.0,2000000,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/logs/c1s15_glove_random_m4-prepare.json,fa9daacdd212107353c78c181ea02d7f3d6213729a986232c8484691bd59d703,PASS
stage15,glove-200-angular,kmeans,2,2,,4,2,2,1.0,2000000,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/logs/c1s15_glove_kmeans_m2-prepare.json,364f97a0146d615daa19f1bb0e03fe31ad15613ffac9d5aa7eef07e29fbfc983,PASS
stage15,glove-200-angular,kmeans,3,3,,6,3,3,1.0,2000000,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/logs/c1s15_glove_kmeans_m3-prepare.json,16ffedb8ea95ef154b5274c4545d18a5592b03557ccf88a267c2b2bf24af7fff,PASS
stage15,glove-200-angular,kmeans,4,4,,8,4,4,1.0,2000000,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/logs/c1s15_glove_kmeans_m4-prepare.json,0f27c73cad7030e948ebe282dedc63c03c814f2d7c76e8c046f06756928b2d09,PASS
