concurrency,concurrency_evaluation_mode,search_dispatch_mode,upper_k,base_ef,factor,query_count,top_k,recall_at_k,qps,wall_s,avg_visited_shards,avg_upper_hits,avg_assigned_ef_per_visited_shard,search_batch_calls,avg_search_requests_per_query,routing_plan_wall_s_excluded_from_qps
2,end_to_end,coordinator,0,36,0,10000,10,0.89942,425.05411828766864,23.52641597800539,46.0,0.0,36.0,100,1.0,
4,end_to_end,coordinator,0,36,0,10000,10,0.89942,292.70300309694693,34.16432320199965,46.0,0.0,36.0,100,1.0,
