strategy,nprobe,hnsw_ef,schedule_name,schedule,query_count,top_k,recall_at_k,qps,wall_s,avg_selected_shards
adaptive_refine,1,,sched_i_4_20_44__96_56_40,"[[4, 96], [20, 56], [44, 40]]",10000,10,0.54402,2644.5662394589517,3.7813384481705725,1.0
adaptive_refine,2,,sched_i_4_20_44__96_56_40,"[[4, 96], [20, 56], [44, 40]]",10000,10,0.68199,2021.044348182708,4.9479369460605085,2.0
adaptive_refine,4,,sched_i_4_20_44__96_56_40,"[[4, 96], [20, 56], [44, 40]]",10000,10,0.77712,1454.257279794409,6.8763623458798975,4.0
adaptive_refine,8,,sched_i_4_20_44__96_56_40,"[[4, 96], [20, 56], [44, 40]]",10000,10,0.83715,773.6644747735096,12.92549978196621,8.0
adaptive_refine,16,,sched_i_4_20_44__96_56_40,"[[4, 96], [20, 56], [44, 40]]",10000,10,0.87706,576.431310929372,17.348120774142444,16.0
adaptive_refine,32,,sched_i_4_20_44__96_56_40,"[[4, 96], [20, 56], [44, 40]]",10000,10,0.89775,348.32944389306124,28.708454525796697,32.0
adaptive_refine,44,,sched_i_4_20_44__96_56_40,"[[4, 96], [20, 56], [44, 40]]",10000,10,0.90279,366.90859351051046,27.254744579084218,44.0
