candidate_type,nprobe,hnsw_ef,recall_at_k,qps,wall_s
uniform_ef,44,48,0.85364,409.8084103554375,24.401646592188627
uniform_ef,44,64,0.88159,332.5119457120531,30.07410749886185
uniform_ef,44,80,0.9012,301.2805982720303,33.191649436950684
uniform_ef,44,96,0.915,275.2756106575316,36.32722846791148
uniform_ef,44,128,0.93486,242.4475230046978,41.24603904411197
