experiment_id,timestamp,git_commit,dataset,dataset_checksum,partition_method,partition_seed,logical_shards,physical_hosts,logical_to_physical_mapping,vector_count,dimension,distance_metric,HNSW_M,HNSW_efConstruction,efSearch,navigation_sample_size,navigation_sample_rate,k_nav,shard_size_mean,shard_size_std,shard_size_min,shard_size_max,edge_cut_ratio,traversal_weighted_edge_cut,mean_retained_degree_ratio,largest_component_fraction,mean_path_shards,mean_path_transitions,mean_local_target_recall,mean_local_distance_computations,P_exact_mean,P_exact_p95,P_HNSW_mean,P_HNSW_p95,Delta_P_mean,W90_mean,W90_p95
c23-20260821-v1-glove-200-angular-orion-m2,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,glove-200-angular,4839085e5a8bb293434a1a66e1aa0193afc3f07c6797a85f1dbd91656172da20,orion,1,2,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1183514,200,cosine,32,200,320,36984,0.03124931348509608,10,591757.0,349982.0,241775,941739,0.19171906286805449,0.1519223456083425,0.8206423444112576,0.9997338434526334,2.0,1881.2954444444445,0.9251766717007963,10559.828723883962,1.3083333333333333,2.0,1.702888888888889,3.0,0.39455555555555555,16066.35611111111,28448.299999999996
c23-20260821-v1-glove-200-angular-orion-m4,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,glove-200-angular,4839085e5a8bb293434a1a66e1aa0193afc3f07c6797a85f1dbd91656172da20,orion,1,4,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1183514,200,cosine,32,200,320,36984,0.03124931348509608,10,295878.5,100058.61349354188,180825,453932,0.4261470495005202,0.38426497834183826,0.5934194431078287,0.9988635537898157,4.0,4841.834222222222,0.9119712030398994,10608.452978376174,1.7824444444444445,3.0,2.2808888888888887,5.0,0.49844444444444447,22725.99,53318.14999999998
c23-20260821-v1-glove-200-angular-orion-m8,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,glove-200-angular,4839085e5a8bb293434a1a66e1aa0193afc3f07c6797a85f1dbd91656172da20,orion,1,8,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1183514,200,cosine,32,200,320,36984,0.03124931348509608,10,147939.25,88606.16684202911,50145,315143,0.4780778131328024,0.4229195582624821,0.5404885176238949,0.9943777597899137,7.999333333333333,5421.949444444444,0.9238081428922935,10117.411488227053,1.9457777777777778,4.0,2.884777777777778,9.0,0.939,27994.75811111111,91625.45
c23-20260821-v1-glove-200-angular-orion-m16,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,glove-200-angular,4839085e5a8bb293434a1a66e1aa0193afc3f07c6797a85f1dbd91656172da20,orion,1,16,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1183514,200,cosine,32,200,320,36984,0.03124931348509608,10,73969.625,44040.050327620826,14531,193106,0.4958598214345373,0.44711967256127444,0.5220370299179327,0.9876554058507123,15.991333333333333,5830.9638888888885,0.9316860495147186,9532.143060527173,2.1724444444444444,5.0,3.480777777777778,17.0,1.3083333333333333,32466.361555555555,163128.24999999997
c23-20260821-v1-glove-200-angular-orion-m32,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,glove-200-angular,4839085e5a8bb293434a1a66e1aa0193afc3f07c6797a85f1dbd91656172da20,orion,1,32,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1183514,200,cosine,32,200,320,36984,0.03124931348509608,10,36984.8125,37285.982979899345,4908,217725,0.5655431230464523,0.5088338702632649,0.45769412438919255,0.9782697965550048,31.838,6555.824888888889,0.9531820608230105,8586.91244459098,2.4255555555555555,5.0,4.931555555555556,33.0,2.506,40303.01977777778,266902.35
c23-20260821-v1-glove-200-angular-orion_no_refinement-m2,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,glove-200-angular,4839085e5a8bb293434a1a66e1aa0193afc3f07c6797a85f1dbd91656172da20,orion_no_refinement,1,2,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1183514,200,cosine,32,200,320,36984,0.03124931348509608,10,591757.0,240550.0,351207,832307,0.264550809882269,0.20304438395145624,0.7471179688970779,0.9996687829632771,2.0,2568.135,0.9268257124572263,10957.969624245748,1.4277777777777778,2.0,1.7864444444444445,3.0,0.3586666666666667,17631.794555555556,30053.249999999996
c23-20260821-v1-glove-200-angular-orion_no_refinement-m4,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,glove-200-angular,4839085e5a8bb293434a1a66e1aa0193afc3f07c6797a85f1dbd91656172da20,orion_no_refinement,1,4,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1183514,200,cosine,32,200,320,36984,0.03124931348509608,10,295878.5,105746.88318220069,165924,443818,0.4324053584805055,0.3996368786778043,0.5792389143835829,0.998152958055418,4.0,4935.097555555555,0.9172427590894582,10770.370931185804,1.866,3.0,2.3721111111111113,5.0,0.5061111111111111,24004.921,52215.1
c23-20260821-v1-glove-200-angular-orion_no_refinement-m8,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,glove-200-angular,4839085e5a8bb293434a1a66e1aa0193afc3f07c6797a85f1dbd91656172da20,orion_no_refinement,1,8,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1183514,200,cosine,32,200,320,36984,0.03124931348509608,10,147939.25,57535.953952181066,74873,221910,0.5555819190403617,0.5257143874539063,0.4556874609889041,0.9935581666123088,7.998888888888889,6446.965888888889,0.9379736183384251,10612.354939290562,2.4067777777777777,4.0,3.099,9.0,0.6922222222222222,31850.291555555556,96532.45
c23-20260821-v1-glove-200-angular-orion_no_refinement-m16,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,glove-200-angular,4839085e5a8bb293434a1a66e1aa0193afc3f07c6797a85f1dbd91656172da20,orion_no_refinement,1,16,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1183514,200,cosine,32,200,320,36984,0.03124931348509608,10,73969.625,27527.789458733787,14770,110955,0.5330209570632103,0.4901671166877361,0.4787798324369151,0.9849997549669881,15.991888888888889,6270.246777777777,0.9455330050648776,9917.62060847519,2.441,5.0,3.4703333333333335,17.0,1.0293333333333334,33943.11388888889,171876.19999999995
c23-20260821-v1-glove-200-angular-orion_no_refinement-m32,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,glove-200-angular,4839085e5a8bb293434a1a66e1aa0193afc3f07c6797a85f1dbd91656172da20,orion_no_refinement,1,32,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1183514,200,cosine,32,200,320,36984,0.03124931348509608,10,36984.8125,15056.854305924719,9853,55477,0.5996980506851527,0.5581690746893053,0.4134367855477533,0.9705588611541561,31.892666666666667,7081.997222222222,0.9612951178815773,8916.957617004806,2.7747777777777776,6.0,4.130777777777777,8.0,1.356,36378.34855555555,84606.65
