dataset,logical_shards,sensitivity_parameter,factor,value,alpha,beta,navigation_k,recall_at_10,recall_gate_valid,mean_shards_per_query,p95_shards_per_query,aggregate_distance_computations_per_query,p95_max_shard_distance_computations
sift1m,16,alpha,0.5,1,1,4,100,0.9876222222222223,True,3.884333333333333,6.049999999999272,3028.9535555555553,2485.0499999999993
sift1m,16,alpha,1.0,1,1,4,100,0.9876222222222223,True,3.884333333333333,6.049999999999272,3028.9535555555553,2485.0499999999993
sift1m,16,alpha,2.0,2,2,4,100,0.9958444444444445,True,3.884333333333333,6.049999999999272,4727.129222222222,4264.0
sift1m,16,beta,0.5,2,1,2,100,0.9863777777777777,True,3.884333333333333,6.049999999999272,2934.568888888889,2445.0
sift1m,16,beta,1.0,4,1,4,100,0.9876222222222223,True,3.884333333333333,6.049999999999272,3028.9535555555553,2485.0499999999993
sift1m,16,beta,2.0,8,1,8,100,0.9895444444444444,True,3.884333333333333,6.049999999999272,3249.2896666666666,2574.0
sift1m,16,navigation_k,0.5,50,1,4,50,0.965288888888889,True,3.324222222222222,6.0,1898.2117777777778,1465.0
sift1m,16,navigation_k,1.0,100,1,4,100,0.9876222222222223,True,3.884333333333333,6.049999999999272,3028.9535555555553,2485.0499999999993
sift1m,16,navigation_k,2.0,200,1,4,200,0.9963000000000001,True,4.503555555555556,7.0,5003.339888888889,4238.049999999999
sift1m,16,logical_shards,,16,1,4,100,0.9876222222222223,True,3.884333333333333,6.049999999999272,3028.9535555555553,2485.0499999999993
