dataset,logical_shards,sensitivity_parameter,factor,value,alpha,beta,navigation_k,recall_at_10,recall_gate_valid,mean_shards_per_query,p95_shards_per_query,aggregate_distance_computations_per_query,p95_max_shard_distance_computations
glove-200-angular,32,alpha,0.5,8,8,4,48,0.8749444444444444,False,8.064666666666668,16.0,14936.865555555556,10946.149999999998
glove-200-angular,32,alpha,1.0,16,16,4,48,0.9060888888888889,True,8.064666666666668,16.0,24175.530555555557,15906.099999999984
glove-200-angular,32,alpha,2.0,32,32,4,48,0.926688888888889,True,8.064666666666668,16.0,36007.77055555556,17439.05
glove-200-angular,32,beta,0.5,2,16,2,48,0.9047222222222222,True,8.064666666666668,16.0,23631.223222222223,15886.149999999998
glove-200-angular,32,beta,1.0,4,16,4,48,0.9060888888888889,True,8.064666666666668,16.0,24175.530555555557,15906.099999999984
glove-200-angular,32,beta,2.0,8,16,8,48,0.9085555555555556,True,8.064666666666668,16.0,25248.920444444444,15949.149999999998
glove-200-angular,32,navigation_k,0.5,24,16,4,24,0.8644444444444445,False,5.5345555555555555,11.0,13798.994555555555,11321.05
glove-200-angular,32,navigation_k,1.0,48,16,4,48,0.9060888888888889,True,8.064666666666668,16.0,24175.530555555557,15906.099999999984
glove-200-angular,32,navigation_k,2.0,96,16,4,96,0.9426,True,12.273666666666667,21.0,41459.17411111111,17175.249999999996
glove-200-angular,32,logical_shards,,32,16,4,48,0.9060888888888889,True,8.064666666666668,16.0,24175.530555555557,15906.099999999984
