dataset,logical_shards,sensitivity_parameter,factor,value,alpha,beta,navigation_k,recall_at_10,recall_gate_valid,mean_shards_per_query,p95_shards_per_query,aggregate_distance_computations_per_query,p95_max_shard_distance_computations
sift1m,32,alpha,0.5,1,1,4,100,0.9844555555555556,True,5.994777777777778,11.0,3458.9093333333335,2200.0499999999993
sift1m,32,alpha,1.0,1,1,4,100,0.9844555555555556,True,5.994777777777778,11.0,3458.9093333333335,2200.0499999999993
sift1m,32,alpha,2.0,2,2,4,100,0.9945666666666667,True,5.994777777777778,11.0,5090.239111111111,3692.199999999997
sift1m,32,beta,0.5,2,1,2,100,0.9823666666666666,True,5.994777777777778,11.0,3346.6354444444446,2157.0
sift1m,32,beta,1.0,4,1,4,100,0.9844555555555556,True,5.994777777777778,11.0,3458.9093333333335,2200.0499999999993
sift1m,32,beta,2.0,8,1,8,100,0.9875999999999999,True,5.994777777777778,11.0,3746.8924444444447,2274.0
sift1m,32,navigation_k,0.5,50,1,4,50,0.9611777777777778,True,4.857333333333333,9.0,2225.6724444444444,1318.0499999999993
sift1m,32,navigation_k,1.0,100,1,4,100,0.9844555555555556,True,5.994777777777778,11.0,3458.9093333333335,2200.0499999999993
sift1m,32,navigation_k,2.0,200,1,4,200,0.9951111111111111,True,7.356111111111111,13.0,5575.597555555555,3626.0499999999993
sift1m,32,logical_shards,,32,1,4,100,0.9844555555555556,True,5.994777777777778,11.0,3458.9093333333335,2200.0499999999993
