evidence,target_recall,query_count,query_sha256,per_query_route_sha256,aggregate_route_sha256,result_ids_sha256,result_ids_scores_sha256,placement_sha256,compact_rpc_total,compact_rpc_per_worker,notes
flat_router_replay_10k,0.90,10000,26a52df5fb987b439a40d2b0daf2081622cbe3c9839f2d19b262a9bd9922cdb6,89bf0c12774d478cea36247b23cc0fc568e6232873d4616196854de8c668f9ae,f7e1e449d1a2eda812f3335d726253ffb6612bcb02116f9bbb8c7a8baf8b5e45,,,,,,8cb flat-vector candidate exact production-router replay
flat_router_replay_10k,0.95,10000,26a52df5fb987b439a40d2b0daf2081622cbe3c9839f2d19b262a9bd9922cdb6,26985010842b2ed1aa388c587a3cb70f844695c7c685a0c72b2ad94cd0ab936c,af86295971df9059f289febdc80ed149180e51403245f1ff128067e38cfbfd86,,,,,,8cb flat-vector candidate exact production-router replay
timed_matrix_prefix,0.90,3000,3c1064531c24b844eaa346bdd60a3ba1abe07d8bc2b14b247b3e1544a64769d5,44994ffebfb73bd1a248f9f7058f5c7e1d062414e3454155d343d07ee1fce570,6d4d170fc800251428b15714b353a74ac4686d63905e960c173f779a5a27be7f,,,,,,ordered route objects equal to 88a for the timed query prefix
timed_matrix_prefix,0.95,3000,3c1064531c24b844eaa346bdd60a3ba1abe07d8bc2b14b247b3e1544a64769d5,fa955a56e7d0164acf61beebd56f030b490cdbbcda2049ce08ffc220d3825892,ff9f4048ba3fe83fd37311c41cbf1e728eb7f78301f1cbfa1e1af6e2df1d7025,,,,,,ordered route objects equal to 88a for the timed query prefix
standard_search_transport_probe,0.90,200,1cea9e588c5931b19f0f598276910ca06509487ee0ee86b4aff4b2279d3a1f93,,,ce427136f203218332dd3b65fc79b453d1dc7efc8c92ffc9a85b248cc86267d0,bcb51efb7940a78e538c06f936db66e9d7b3d136f4edb2193e9c104437365dfd,4404312a407c6c48537b717c868805ae48aa3730cf66349ec814378998e6756d,6,2,ordinary controller Search API; zero legacy batch RPCs
standard_search_transport_probe,0.95,200,1cea9e588c5931b19f0f598276910ca06509487ee0ee86b4aff4b2279d3a1f93,,,e8eef3f2e16182f2e97cab63517dacf5773d2964a92d59531cd376c9bf204c68,f3c805d23a0432de7ac29b0597bcc03afdc156fe5546272d649371549a7548c9,4404312a407c6c48537b717c868805ae48aa3730cf66349ec814378998e6756d,6,2,ordinary controller Search API; zero legacy batch RPCs
