target_recall,method,case_name,recall_at_10,old_88a_qps,new_8cb_qps,qps_change_pct,old_88a_batch_p95_ms,new_8cb_batch_p95_ms,batch_p95_change_pct,comparison_scope
0.90,HashAll,hash_all_r090_ef37,0.9004666666666666,1284.3457360744455,1284.6668254965957,0.025000232657879096,162.67286639777012,163.07873620729274,0.2495006195625704,separate full-matrix windows; not paired A/B
0.90,Orion,orion_r090_u48_b48_f14_g7,0.9026666666666666,1396.3766163857092,1462.1342877096647,4.709164458379322,148.42998476621383,141.44020057283342,-4.709145665136161,separate full-matrix windows; not paired A/B
0.90,Simple KMeans,simple_r090_n19_ef109_g11,0.9009333333333333,981.6009102238846,978.8290404600539,-0.28238255842677473,212.82473833222562,212.80015813730037,-0.011549500832408466,separate full-matrix windows; not paired A/B
0.95,HashAll,hash_all_r095_ef71,0.9506,968.5072860822887,960.6043873215089,-0.8159875381782533,215.65530283454186,220.46722527593374,2.2313026288455218,separate full-matrix windows; not paired A/B
0.95,Orion,orion_r095_u112_b64_f16_g8,0.9517666666666665,957.7073440802011,1001.0351445310539,4.524116967325287,217.17089166437896,207.21977164891237,-4.5821610526171614,separate full-matrix windows; not paired A/B
0.95,Simple KMeans,simple_r095_n26_ef210_g10,0.951,590.8142466693735,581.7943909510519,-1.5266821626542693,353.21900651712593,362.61310995323583,2.6595690670044414,separate full-matrix windows; not paired A/B
