record_type,record_id,method,case_id,block_id,order_label,metric,value,n,mean,median,sample_standard_deviation,hash_all_value,orion_value,difference_orion_minus_hash_all,relative_difference_percent,statistic,degrees_of_freedom,p_value_two_sided,confidence_interval_95_low,confidence_interval_95_high,extreme_count,enumeration_count,input_path,sha256,size_bytes
arm_summary,hash_all:latency_p50_ms,hash_all,,,,latency_p50_ms,,6,205.2743443249104,205.0824144971557,0.7112270564877443,,,,,,,,,,,,,,
arm_summary,hash_all:latency_p95_ms,hash_all,,,,latency_p95_ms,,6,218.2159056130331,219.1578554804437,7.2120736074281995,,,,,,,,,,,,,,
arm_summary,hash_all:latency_p99_ms,hash_all,,,,latency_p99_ms,,6,221.0106940664506,221.43031027866527,9.081565697013836,,,,,,,,,,,,,,
arm_summary,orion:qps,orion,,,,qps,,6,987.6643133262496,986.962204710135,9.038182209797245,,,,,,,,,,,,,,
arm_summary,orion:latency_p50_ms,orion,,,,latency_p50_ms,,6,201.58891686393568,201.65011152857915,1.4923731276208139,,,,,,,,,,,,,,
arm_summary,orion:latency_p95_ms,orion,,,,latency_p95_ms,,6,212.07612885627896,210.93532885424793,3.0325854497271933,,,,,,,,,,,,,,
arm_summary,orion:latency_p99_ms,orion,,,,latency_p99_ms,,6,214.94463083179045,212.28452255018055,6.193634438511685,,,,,,,,,,,,,,
mean_comparison,qps,,,,,qps,,,,,,970.4061507873337,987.6643133262496,17.25816253891594,1.778447356801438,,,,,,,,,,
mean_comparison,latency_p50_ms,,,,,latency_p50_ms,,,,,,205.2743443249104,201.58891686393568,-3.685427460974722,-1.7953668165863856,,,,,,,,,,
mean_comparison,latency_p95_ms,,,,,latency_p95_ms,,,,,,218.2159056130331,212.07612885627896,-6.139776756754145,-2.8136247628263833,,,,,,,,,,
mean_comparison,latency_p99_ms,,,,,latency_p99_ms,,,,,,221.0106940664506,214.94463083179045,-6.066063234660163,-2.744692178938768,,,,,,,,,,
adjacent_block,block-1:qps,,,1,AB,qps,,,,,,967.9678844852849,996.5529277256165,28.58504324033163,2.953098310232849,,,,,,,,,,
adjacent_block,block-1:latency_p50_ms,,,1,AB,latency_p50_ms,,,,,,205.12271497864276,200.14965801965445,-4.973056958988309,-2.4244301561170856,,,,,,,,,,
adjacent_block,block-1:latency_p95_ms,,,1,AB,latency_p95_ms,,,,,,217.3173001036048,210.41771434247494,-6.899585761129856,-3.1748902447437555,,,,,,,,,,
adjacent_block,block-1:latency_p99_ms,,,1,AB,latency_p99_ms,,,,,,217.87464398890734,212.84668127074838,-5.02796271815896,-2.307731926077161,,,,,,,,,,
adjacent_block,block-2:qps,,,2,BA,qps,,,,,,962.3193281775993,998.3330998569423,36.013771679342995,3.742393052371118,,,,,,,,,,
adjacent_block,block-2:latency_p50_ms,,,2,BA,latency_p50_ms,,,,,,206.3167269807309,199.72833804786205,-6.588388932868838,-3.1933372680365224,,,,,,,,,,
adjacent_block,block-2:latency_p95_ms,,,2,BA,latency_p95_ms,,,,,,223.92163462936875,209.5244150259532,-14.39721960341555,-6.429579538951469,,,,,,,,,,
adjacent_block,block-2:latency_p99_ms,,,2,BA,latency_p99_ms,,,,,,232.68125092610714,210.80064942361787,-21.88060150248927,-9.403680535239134,,,,,,,,,,
adjacent_block,block-3:qps,,,3,BA,qps,,,,,,960.3350253991556,982.9122455549393,22.57722015578372,2.3509733122979215,,,,,,,,,,
adjacent_block,block-3:latency_p50_ms,,,3,BA,latency_p50_ms,,,,,,205.04211401566863,202.6730279903859,-2.3690860252827406,-1.1554143579994958,,,,,,,,,,
adjacent_block,block-3:latency_p95_ms,,,3,BA,latency_p95_ms,,,,,,227.20934787066653,211.45294336602092,-15.756404504645616,-6.934751871923228,,,,,,,,,,
adjacent_block,block-3:latency_p99_ms,,,3,BA,latency_p99_ms,,,,,,228.33444161573425,211.72236382961273,-16.612077786121517,-7.275327221146122,,,,,,,,,,
adjacent_block,block-4:qps,,,4,AB,qps,,,,,,983.4685270972672,981.507817861926,-1.9607092353411417,-0.19936674955204348,,,,,,,,,,
adjacent_block,block-4:latency_p50_ms,,,4,AB,latency_p50_ms,,,,,,204.5883290702477,201.78762706927955,-2.8007020009681582,-1.3689451464294011,,,,,,,,,,
adjacent_block,block-4:latency_p95_ms,,,4,AB,latency_p95_ms,,,,,,209.38412386458367,217.34933375846595,7.965209893882275,3.804113581712465,,,,,,,,,,
adjacent_block,block-4:latency_p99_ms,,,4,AB,latency_p99_ms,,,,,,211.42006154637784,226.96540114935485,15.545339602977009,7.352821434860357,,,,,,,,,,
adjacent_block,block-5:qps,,,5,AB,qps,,,,,,965.4627594202374,991.0121638653305,25.54940444509316,2.646337644388863,,,,,,,,,,
adjacent_block,block-5:latency_p50_ms,,,5,AB,latency_p50_ms,,,,,,204.61923291441053,201.51259598787874,-3.1066369265317917,-1.51825265019504,,,,,,,,,,
adjacent_block,block-5:latency_p95_ms,,,5,AB,latency_p95_ms,,,,,,220.99841085728258,209.80319912778214,-11.195211729500443,-5.0657430911257295,,,,,,,,,,
adjacent_block,block-5:latency_p99_ms,,,5,AB,latency_p99_ms,,,,,,224.98597656842318,211.2085398682393,-13.77743670018387,-6.123686867209632,,,,,,,,,,
adjacent_block,block-6:qps,,,6,BA,qps,,,,,,982.8833801444579,975.6676250927426,-7.215755051715291,-0.7341415266025497,,,,,,,,,,
adjacent_block,block-6:latency_p50_ms,,,6,BA,latency_p50_ms,,,,,,205.95694798976183,203.68225406855345,-2.2746939212083817,-1.1044511697276937,,,,,,,,,,
adjacent_block,block-6:latency_p95_ms,,,6,BA,latency_p95_ms,,,,,,210.46461635269225,213.9091675169766,3.4445511642843485,1.6366414573516952,,,,,,,,,,
adjacent_block,block-6:latency_p99_ms,,,6,BA,latency_p99_ms,,,,,,210.76778975315392,216.12414944916964,5.356359696015716,2.541355916997068,,,,,,,,,,
