record_type,record_id,method,case_id,block_id,order_label,metric,value,n,mean,median,sample_standard_deviation,hash_all_value,orion_value,difference_orion_minus_hash_all,relative_difference_percent,statistic,degrees_of_freedom,p_value_two_sided,confidence_interval_95_low,confidence_interval_95_high,extreme_count,enumeration_count,input_path,sha256,size_bytes
arm_summary,hash_all:latency_p50_ms,hash_all,,,,latency_p50_ms,,6,204.52099685401967,204.2330100084655,2.0090777700779707,,,,,,,,,,,,,,
arm_summary,hash_all:latency_p95_ms,hash_all,,,,latency_p95_ms,,6,218.75711840305786,218.5230203846004,7.299979322648347,,,,,,,,,,,,,,
arm_summary,hash_all:latency_p99_ms,hash_all,,,,latency_p99_ms,,6,223.88763233592422,222.13902603718452,9.729393052605618,,,,,,,,,,,,,,
arm_summary,orion:qps,orion,,,,qps,,6,961.6897396718587,963.5715116471945,11.112509879480278,,,,,,,,,,,,,,
arm_summary,orion:latency_p50_ms,orion,,,,latency_p50_ms,,6,207.43035800599804,207.3639560258016,2.140707829011574,,,,,,,,,,,,,,
arm_summary,orion:latency_p95_ms,orion,,,,latency_p95_ms,,6,216.34175545768812,215.54919385234825,4.429439023996982,,,,,,,,,,,,,,
arm_summary,orion:latency_p99_ms,orion,,,,latency_p99_ms,,6,218.06633604923263,217.34780552214943,4.709201034180939,,,,,,,,,,,,,,
mean_comparison,qps,,,,,qps,,,,,,972.2189002028114,961.6897396718587,-10.529160530952709,-1.083003069448274,,,,,,,,,,
mean_comparison,latency_p50_ms,,,,,latency_p50_ms,,,,,,204.52099685401967,207.43035800599804,2.9093611519783735,1.4225244335450693,,,,,,,,,,
mean_comparison,latency_p95_ms,,,,,latency_p95_ms,,,,,,218.75711840305786,216.34175545768812,-2.4153629453697363,-1.104129988090008,,,,,,,,,,
mean_comparison,latency_p99_ms,,,,,latency_p99_ms,,,,,,223.88763233592422,218.06633604923263,-5.821296286691592,-2.6000973014700723,,,,,,,,,,
adjacent_block,block-1:qps,,,1,AB,qps,,,,,,967.2211739286886,963.843888353389,-3.3772855752995383,-0.34917407376242604,,,,,,,,,,
adjacent_block,block-1:latency_p50_ms,,,1,AB,latency_p50_ms,,,,,,204.5080680400133,206.81488700211048,2.306818962097168,1.127984330498788,,,,,,,,,,
adjacent_block,block-1:latency_p95_ms,,,1,AB,latency_p95_ms,,,,,,219.76506296778098,216.06504049850628,-3.7000224692746997,-1.6836263322788203,,,,,,,,,,
adjacent_block,block-1:latency_p99_ms,,,1,AB,latency_p99_ms,,,,,,226.31002935813737,216.06962973019108,-10.240399627946289,-4.52494290994977,,,,,,,,,,
adjacent_block,block-2:qps,,,2,BA,qps,,,,,,989.5493231226728,963.2991349409999,-26.25018818167291,-2.652741765194333,,,,,,,,,,
adjacent_block,block-2:latency_p50_ms,,,2,BA,latency_p50_ms,,,,,,202.56167405750602,207.9622750170529,5.400600959546864,2.6661514250784,,,,,,,,,,
adjacent_block,block-2:latency_p95_ms,,,2,BA,latency_p95_ms,,,,,,211.0176978399977,214.79488768381998,3.7771898438222706,1.7899872297376218,,,,,,,,,,
adjacent_block,block-2:latency_p99_ms,,,2,BA,latency_p99_ms,,,,,,214.16692673694342,218.09497279813513,3.928046061191708,1.8341048830646134,,,,,,,,,,
adjacent_block,block-3:qps,,,3,BA,qps,,,,,,956.896498955375,959.3006195218428,2.404120566467782,0.2512414424227005,,,,,,,,,,
adjacent_block,block-3:latency_p50_ms,,,3,BA,latency_p50_ms,,,,,,206.10934495925903,207.91302504949272,1.8036800902336836,0.8751083511474134,,,,,,,,,,
adjacent_block,block-3:latency_p95_ms,,,3,BA,latency_p95_ms,,,,,,229.87196715548632,218.63657652866095,-11.235390626825364,-4.887673240828749,,,,,,,,,,
adjacent_block,block-3:latency_p99_ms,,,3,BA,latency_p99_ms,,,,,,239.41672142595053,222.8016017889604,-16.61511963699013,-6.939832580628269,,,,,,,,,,
adjacent_block,block-4:qps,,,4,AB,qps,,,,,,978.7434785040691,966.9667927542918,-11.776685749777357,-1.2032453863985992,,,,,,,,,,
adjacent_block,block-4:latency_p50_ms,,,4,AB,latency_p50_ms,,,,,,202.4396100314334,206.73684205394238,4.297232022508979,2.1227229304787487,,,,,,,,,,
adjacent_block,block-4:latency_p95_ms,,,4,AB,latency_p95_ms,,,,,,217.2809778014198,215.03334720619023,-2.247630595229566,-1.0344350517806244,,,,,,,,,,
adjacent_block,block-4:latency_p99_ms,,,4,AB,latency_p99_ms,,,,,,217.96802271623164,216.60063824616373,-1.3673844700679183,-0.6273326027497528,,,,,,,,,,
adjacent_block,block-5:qps,,,5,AB,qps,,,,,,979.1289899227403,975.015316685018,-4.11367323772231,-0.4201359861734755,,,,,,,,,,
adjacent_block,block-5:latency_p50_ms,,,5,AB,latency_p50_ms,,,,,,203.95795197691768,204.29928693920374,0.3413349622860551,0.16735555489628684,,,,,,,,,,
adjacent_block,block-5:latency_p95_ms,,,5,AB,latency_p95_ms,,,,,,211.1557769589126,210.11572919087484,-1.0400477680377662,-0.4925499946137557,,,,,,,,,,
adjacent_block,block-5:latency_p99_ms,,,5,AB,latency_p99_ms,,,,,,215.87346905842423,211.03290502214804,-4.8405640362761915,-2.242315397713901,,,,,,,,,,
adjacent_block,block-6:qps,,,6,BA,qps,,,,,,961.7739367833223,941.7126857756108,-20.061251007711462,-2.0858592898458928,,,,,,,,,,
adjacent_block,block-6:latency_p50_ms,,,6,BA,latency_p50_ms,,,,,,207.5493320589885,210.855831974186,3.3064999151974916,1.5931151800853582,,,,,,,,,,
adjacent_block,block-6:latency_p95_ms,,,6,BA,latency_p95_ms,,,,,,223.45122769474983,223.40495163807645,-0.04627605667337775,-0.020709690052178598,,,,,,,,,,
adjacent_block,block-6:latency_p99_ms,,,6,BA,latency_p99_ms,,,,,,229.59062471985814,223.7982687097974,-5.792356010060729,-2.522906158353999,,,,,,,,,,
paired_difference_summary,qps,,,,,qps,,6,-10.529160530952632,-7.9451794937498335,10.946646344513203,,,,,,,,-22.016961342221883,0.9586402803166205,,,,,
paired_difference_summary,latency_p50_ms,,,,,latency_p50_ms,,6,2.9093611519783735,2.80665943864733,1.8149670377814486,,,,,,,,1.0046700572940797,4.814052246662667,,,,,
paired_difference_summary,latency_p95_ms,,,,,latency_p95_ms,,6,-2.4153629453697505,-1.6438391816336662,5.006458770536499,,,,,,,,-7.669319208840585,2.8385933181010836,,,,,
paired_difference_summary,latency_p99_ms,,,,,latency_p99_ms,,6,-5.821296286691592,-5.31646002316846,7.0976725316295814,,,,,,,,-13.269846801694435,1.6272542283112506,,,,,
inference,qps:welch_two_sample_t_test,,,,,qps,,,,,,,,,,-1.5541567917190733,9.894660115203429,0.15152191015312477,,,,,,,
inference,qps:exact_unpaired_permutation_test,,,,,qps,,,,,,,,-10.529160530952709,,,,0.15584415584415584,,,144,924,,,
inference,qps:paired_t_test,,,,,qps,,,,,,,,-10.529160530952632,,-2.3560705177630252,5,0.06506767857370471,-22.016961342221883,0.9586402803166205,,,,,
inference,qps:exact_sign_flip_test,,,,,qps,,,,,,,,-10.529160530952632,,,,0.0625,,,4,64,,,
