run,upper_k,base_ef,factor,query_count,top_k,recall_at_k,qps,wall_s,avg_visited_shards,avg_upper_hits,avg_assigned_ef_per_visited_shard
1,100,32,4,10000,10,0.89808,136.587236038353,73.21328324699425,16.866,109.0808,57.869986956006166
2,100,32,4,10000,10,0.89808,138.139665382739,72.3905040039972,16.866,109.0808,57.869986956006166
3,100,32,4,10000,10,0.89808,134.69851320470175,74.23986918699666,16.866,109.0808,57.869986956006166
