dataset,partition_method,configuration_count,pearson_model_vs_observed,spearman_model_vs_observed,mean_relative_error,maximum_relative_error,physical_point_count,pearson_physical_projection_vs_e1,spearman_physical_projection_vs_e1,physical_projection_mean_relative_error,physical_projection_trend_agreement,m_gt_4_projection_status,c1_d_aggregate_cost_status,physical_attribution_status
glove-200-angular,random,6,1.0,1.0,0.0,0.0,3,0.10391473157376463,0.4999999999999999,0.4887350387138926,True,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,SUPPORTS,INSUFFICIENT
glove-200-angular,kmeans,6,1.0,1.0,2.599744516390747e-17,1.5598467098344483e-16,3,0.7467699470862423,0.4999999999999999,0.2855026483700927,True,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,SUPPORTS,INSUFFICIENT
